Regulator	Interaction	Target	Weight
AT1G04990	regulates	AT1G04990	0.474534206709431
AT2G36080	regulates	AT1G04990	0.727678661003197
AT2G36080	regulates	AT1G06002	0.860309716267774
AT1G30330	regulates	AT1G07690	0.426007761085371
AT1G04990	regulates	AT1G12240	0.375061424488146
AT1G04990	regulates	AT1G13930	0.71580883465377
AT2G36080	regulates	AT1G13930	0.70088242076351
AT1G30330	regulates	AT1G15100	0.614179129433931
AT2G36080	regulates	AT1G15100	0.611857082446836
AT1G30330	regulates	AT1G15640	0.331969349894657
AT1G30330	regulates	AT1G19220	0.366889565917302
AT1G04990	regulates	AT1G22810	0.69350194473277
AT1G04990	regulates	AT1G26960	0.396366652524901
AT2G36080	regulates	AT1G26960	0.756831956367481
AT2G36080	regulates	AT1G29640	0.906167727433118
AT1G30330	regulates	AT1G30040	0.408238172767801
AT1G30330	regulates	AT1G30330	0.526893462974325
AT2G36080	regulates	AT1G31350	0.987016381542775
AT1G30330	regulates	AT1G32690	0.412834300404233
AT2G36080	regulates	AT1G32690	0.348408358933327
AT1G04990	regulates	AT1G43160	0.604836759062265
AT1G30330	regulates	AT1G43160	0.601521723167992
AT1G04990	regulates	AT1G48500	0.469938158077049
AT1G30330	regulates	AT1G51820	0.528089616181326
AT1G30330	regulates	AT1G59640	0.416831022077451
AT2G36080	regulates	AT1G59640	0.627838503067271
AT1G04990	regulates	AT1G64530	0.63107508104519
AT2G36080	regulates	AT1G65390	0.610875844308456
AT1G04990	regulates	AT1G68880	0.520048216972713
AT1G30330	regulates	AT1G68880	0.41154536609029
AT1G30330	regulates	AT1G69810	0.464649407522665
AT2G36080	regulates	AT1G69810	0.590363678502586
AT1G04990	regulates	AT1G72416	0.33147065312645
AT1G04990	regulates	AT1G72790	0.366602528500362
AT1G04990	regulates	AT1G78600	0.346043133512777
AT2G36080	regulates	AT1G78600	0.83432958403227
AT1G04990	regulates	AT2G02630	0.688434946296893
AT1G30330	regulates	AT2G16365	0.411260423578798
AT2G36080	regulates	AT2G27420	0.452685190647752
AT2G36080	regulates	AT2G27660	0.60414133201162
AT1G04990	regulates	AT2G28710	0.426282081992449
AT1G30330	regulates	AT2G28710	0.845417823811501
AT2G36080	regulates	AT2G28710	0.457792222368258
AT1G30330	regulates	AT2G35270	0.680887630753281
AT1G04990	regulates	AT2G35940	0.625297185172789
AT1G30330	regulates	AT2G35940	0.3731809965388
AT2G36080	regulates	AT2G36080	0.827344757163459
AT1G30330	regulates	AT2G37360	0.352484950357236
AT2G36080	regulates	AT2G38310	0.882775802198029
AT1G04990	regulates	AT2G39415	0.560797074894037
AT1G30330	regulates	AT2G39415	0.641980986517874
AT2G36080	regulates	AT2G39415	0.619172751235763
AT2G36080	regulates	AT2G39420	0.986480291547077
AT1G04990	regulates	AT2G40080	0.703443128688827
AT1G30330	regulates	AT2G40080	0.538831463946673
AT1G04990	regulates	AT2G42350	0.608792255582278
AT2G36080	regulates	AT2G43140	0.659751132052096
AT2G36080	regulates	AT2G46270	0.387155832590718
AT2G36080	regulates	AT2G46790	0.816956924734845
AT1G04990	regulates	AT3G05800	0.505145084358239
AT1G30330	regulates	AT3G11020	0.567883740856585
AT1G30330	regulates	AT3G11402	0.405781084007708
AT1G30330	regulates	AT3G13760	0.423408991131938
AT2G36080	regulates	AT3G24840	0.823846760432845
AT1G04990	regulates	AT3G27510	0.538803039155131
AT1G30330	regulates	AT3G27510	0.48385609453654
AT2G36080	regulates	AT3G28910	0.757234886170041
AT2G36080	regulates	AT3G44860	0.616492736515632
AT1G30330	regulates	AT3G46800	0.637861232235685
AT1G30330	regulates	AT3G46810	0.540922550740743
AT1G30330	regulates	AT3G49930	0.664130711668175
AT1G30330	regulates	AT3G52450	0.716774472878154
AT1G30330	regulates	AT3G52740	0.533763876011918
AT2G36080	regulates	AT3G52740	0.481422116175521
AT1G04990	regulates	AT4G01750	0.807695394101545
AT1G30330	regulates	AT4G10265	0.399906194305784
AT1G30330	regulates	AT4G11360	0.348346090300117
AT1G30330	regulates	AT4G13620	0.331277626264631
AT2G36080	regulates	AT4G13620	0.609453928135395
AT1G30330	regulates	AT4G21680	0.753485996910888
AT2G36080	regulates	AT4G21680	0.476156996450999
AT1G30330	regulates	AT4G31550	0.433859203106096
AT1G04990	regulates	AT4G32810	0.840586207090048
AT1G04990	regulates	AT4G37430	0.337048389607817
AT2G36080	regulates	AT4G37430	1
AT1G04990	regulates	AT4G37610	0.593420835096483
AT1G30330	regulates	AT5G02970	0.506101139918501
AT1G30330	regulates	AT5G03890	0.436052047846729
AT2G36080	regulates	AT5G03890	0.384075821911545
AT2G36080	regulates	AT5G08130	0.589295243150929
AT1G30330	regulates	AT5G17810	0.634612273632226
AT1G30330	regulates	AT5G24230	0.546092376943559
AT1G04990	regulates	AT5G25890	0.41719550931696
AT1G04990	regulates	AT5G37260	0.609917359682406
AT1G30330	regulates	AT5G41590	0.386018213363073
AT1G04990	regulates	AT5G42410	0.345079675410589
AT1G30330	regulates	AT5G42410	0.565248310846115
AT2G36080	regulates	AT5G44190	0.871764943352176
AT1G30330	regulates	AT5G46780	0.449309440948838
AT1G04990	regulates	AT5G48540	0.806607700683587
AT2G36080	regulates	AT5G48540	0.522780535288815
AT1G30330	regulates	AT5G49330	0.36194033328587
AT1G04990	regulates	AT5G54960	0.341218792584373
AT2G36080	regulates	AT5G54960	0.784479258230933
AT1G30330	regulates	AT5G55770	0.696191722987068
AT2G36080	regulates	AT5G55770	0.513711320391131
AT1G30330	regulates	AT5G57520	0.404583787164798
AT2G36080	regulates	AT5G57520	0.50088817854879
AT1G30330	regulates	AT5G58900	0.349182710731931
AT1G30330	regulates	AT5G62430	0.438792242798692
AT2G36080	regulates	AT5G64750	0.806548434560788
AT1G04990	regulates	AT5G64850	0.651409004420516
AT1G30330	regulates	AT5G64850	0.670688961568201
