Regulator	Interaction	Target	Weight
AT5G11260	regulates	AT1G02810	0.360931398574863
AT3G57920	regulates	AT1G07135	0.986113406620989
AT4G17230	regulates	AT1G18300	0.40040288871302
AT4G17230	regulates	AT1G19380	0.498329883739919
AT4G17230	regulates	AT1G19510	0.371827265193677
AT4G17230	regulates	AT1G20310	0.730542572753144
AT4G17230	regulates	AT1G20520	0.373923268940872
AT5G11260	regulates	AT1G24140	0.477025954923885
AT4G17230	regulates	AT1G30135	0.385198955579331
AT3G57920	regulates	AT1G50040	0.640700519407333
AT3G57920	regulates	AT1G72940	0.454174742678079
AT3G57920	regulates	AT1G74450	0.372584423003691
AT4G17230	regulates	AT1G74930	0.405557902262314
AT4G17230	regulates	AT2G15760	0.411721677448748
AT4G17230	regulates	AT2G22500	0.387374257247668
AT4G17230	regulates	AT2G22880	0.377769044477432
AT5G11260	regulates	AT2G25460	0.418451162299512
AT5G11260	regulates	AT2G35930	0.464584331964349
AT4G17230	regulates	AT2G37430	0.532278159307233
AT4G17230	regulates	AT2G39650	0.364800351094475
AT3G57920	regulates	AT3G02140	0.472080118838103
AT4G17230	regulates	AT3G16350	0.351265111956545
AT4G17230	regulates	AT3G16860	0.350817280046599
AT5G11260	regulates	AT3G20600	0.430202638664794
AT3G57920	regulates	AT3G23630	1
AT4G17230	regulates	AT3G25655	0.718064550488759
AT5G11260	regulates	AT3G29000	0.399197789933734
AT3G57920	regulates	AT3G47960	0.628602442516544
AT3G57920	regulates	AT3G50260	0.518181470980223
AT3G57920	regulates	AT3G50930	0.879630613815651
AT4G17230	regulates	AT3G61190	0.403128713631969
AT4G17230	regulates	AT4G01120	0.351402927213128
AT5G11260	regulates	AT4G03400	0.460208658965592
AT4G17230	regulates	AT4G20860	0.393182653058881
AT4G17230	regulates	AT4G21840	0.446818840225785
AT5G11260	regulates	AT4G24150	0.338108025305817
AT4G17230	regulates	AT4G24380	0.435504870638151
AT3G57920	regulates	AT4G24570	0.794793229101883
AT3G57920	regulates	AT4G27652	0.353624932021097
AT4G17230	regulates	AT4G31800	0.46146122788541
AT5G11260	regulates	AT4G33280	0.371971730411408
AT4G17230	regulates	AT4G35660	0.616724975670702
AT3G57920	regulates	AT5G01040	0.331448222253594
AT4G17230	regulates	AT5G05410	0.404535913121125
AT3G57920	regulates	AT5G15130	0.35551335320628
AT3G57920	regulates	AT5G18670	0.599565322761334
AT4G17230	regulates	AT5G20150	0.414807194426648
AT4G17230	regulates	AT5G41740	0.467491152919874
AT4G17230	regulates	AT5G42380	0.429415455231249
AT5G11260	regulates	AT5G43170	0.776667844286925
AT3G57920	regulates	AT5G51190	0.435094804857689
AT5G11260	regulates	AT5G52020	0.433503742803235
AT4G17230	regulates	AT5G52510	0.770505126414888
AT3G57920	regulates	AT5G58750	0.567785408419282
AT4G17230	regulates	AT5G62520	0.392207839930021
AT4G17230	regulates	AT5G65300	0.379721911960156
AT5G11260	regulates	AT5G67080	0.400432854502365
