Regulator	Interaction	Target	Weight
AT4G36780	regulates	AT2G44370	0.810331478692906
AT1G51140	regulates	AT4G23550	0.861070902728821
AT4G36780	regulates	AT5G64840	1
AT1G58100	regulates	AT2G26580	1
AT1G43700	regulates	AT1G19670	1
AT2G28450	regulates	AT1G68640	0.819996712390225
AT3G57920	regulates	AT1G07135	0.986113406620989
AT3G57920	regulates	AT3G23630	1
AT3G57920	regulates	AT3G50930	0.879630613815651
AT1G04990	regulates	AT1G13930	0.9047078044414
AT1G04990	regulates	AT1G22810	0.960184942034252
AT1G04990	regulates	AT2G39415	1
AT1G30330	regulates	AT5G24230	0.831933197848764
AT4G36780	regulates	AT1G04990	1
