"","hr0","hr0.25","hr0.5","hr1","hr12","hr2","hr24","hr4","hr8","clusters"
"AT1G01060",-0.493754635674358,0.0383917032426592,-0.24156408132352,1.28158677050519,-0.71660282989998,-0.8575344028288,-1.1890691085111,1.80275481200748,0.375791772482425,1
"AT1G01260",0.118070006330476,-1.26480412904912,-0.927316728104184,-1.09305911875478,0.850508827613445,0.882899241581063,0.316264558263379,-0.467049997598541,1.58448733971826,2
"AT1G01380",1.23069229240904,0.437031547021498,1.14870038179743,-0.192892790289775,-0.0820787495712979,-0.702138898072208,0.816353475262322,-0.977671903321997,-1.67799535523501,3
"AT1G01520",-0.477669849475332,-0.166093087743156,0.146600250541491,2.57414644413335,-0.572475268675326,-0.583643951080464,-0.526856226181254,-0.0060118796250689,-0.387996431894242,1
"AT1G01580",0.566553312121402,0.886705666768318,-1.30042408427468,-0.353893095757974,-1.02544467765986,1.25014804525272,0.815982796163776,-1.26943297810236,0.429805015488658,4
"AT1G02030",1.39243508059937,-0.262916473338283,-0.60006841257669,1.06700850101687,1.02111243440364,-0.849485025835175,-0.845062854929479,0.429835006092634,-1.35285825543288,1
"AT1G02230",1.42388148282227,-1.09282602403779,0.101631428791511,-0.689946467754167,0.803602771693842,0.623563186074509,0.894792553450011,-1.43557689207159,-0.629122038968594,5
"AT1G02340",1.12925470103543,0.560143448358881,-0.556673512522721,1.47191547428316,-0.834840844564286,-0.549252387555313,-0.486681586590852,-1.46916380460718,0.735298512162881,1
"AT1G02810",-0.318700256039469,2.05482637544387,1.25125085880909,0.133741521272486,-0.501467994754087,-0.655535901354091,-0.473951238311598,-0.549527935341695,-0.940635429724508,6
"AT1G03040",-1.19993274445673,-0.960668529502494,-1.25205367214111,-0.297693005961655,1.18180040947493,0.301842563347536,0.288970898972443,1.48478653832732,0.452947541939755,7
"AT1G03106",-0.468530376472035,-0.594689477500442,2.55243412892025,-0.608061630519014,-0.102410092050216,-0.146483355178044,0.143284257603597,-0.0803994947856495,-0.69514396001845,8
"AT1G03170",-0.676403875899602,0.275023983495551,-0.215500614471977,1.71449246234886,0.341286496673225,-1.09025319714337,-0.653579542234961,1.31481982296857,-1.0098855357363,1
