Regulator	Interaction	Target	Weight
AT1G51140	regulates	AT1G01520	0.440580018255189
AT4G36780	regulates	AT1G02030	0.604262724912459
AT5G37020	regulates	AT1G03170	0.438588731419499
AT1G51140	regulates	AT1G05420	0.41904382035673
AT5G37020	regulates	AT1G10480	0.368225192986629
AT5G37020	regulates	AT1G14430	0.464184191190523
AT1G51140	regulates	AT1G18330	0.340005817455194
AT4G36780	regulates	AT1G18810	0.698519901789831
AT1G51140	regulates	AT1G23010	0.552095279239514
AT1G51140	regulates	AT1G52200	0.387823400715974
AT4G36730	regulates	AT1G58460	0.427042830505198
AT4G36730	regulates	AT1G62030	0.500460986851834
AT5G37020	regulates	AT1G72500	0.465681066669345
AT1G51140	regulates	AT1G75710	0.419227624133946
AT4G36780	regulates	AT1G80340	0.542373198495169
AT1G51140	regulates	AT2G02070	0.386852285905858
AT1G51140	regulates	AT2G16660	0.589000034855711
AT5G37020	regulates	AT2G21970	0.618273925449448
AT1G51140	regulates	AT2G34710	0.402965712878768
AT1G51140	regulates	AT2G35075	0.501904979176454
AT4G36780	regulates	AT2G36630	0.519590257953657
AT4G36730	regulates	AT2G38230	0.36976385118521
AT4G36730	regulates	AT2G39200	0.57150682417935
AT1G51140	regulates	AT2G41100	0.366258781401956
AT4G36780	regulates	AT2G44370	0.810331478692906
AT1G51140	regulates	AT3G15354	0.410217254823903
AT1G51140	regulates	AT3G15570	0.577588716096298
AT4G36730	regulates	AT3G21560	0.331139950554782
AT4G36780	regulates	AT3G21870	0.477317679048903
AT4G36730	regulates	AT3G23210	0.69880561273654
AT1G51140	regulates	AT3G23810	0.345012362911492
AT5G37020	regulates	AT3G50460	0.404865884957339
AT4G36780	regulates	AT4G01540	0.376528321635019
AT4G36780	regulates	AT4G11660	0.634787079014273
AT5G37020	regulates	AT4G13010	0.361182304851349
AT4G36730	regulates	AT4G15248	0.743804945503174
AT4G36730	regulates	AT4G15430	0.690820151944
AT4G36780	regulates	AT4G15630	0.35616407999442
AT4G36780	regulates	AT4G18210	0.497291813537419
AT4G36780	regulates	AT4G21870	0.665027893184412
AT1G51140	regulates	AT4G23550	0.861070902728821
AT4G36730	regulates	AT4G24140	0.709656100083192
AT1G51140	regulates	AT4G24415	0.55634996554921
AT4G36780	regulates	AT4G24700	0.644521581067078
AT4G36780	regulates	AT4G26150	0.656433779907887
AT4G36730	regulates	AT5G11270	0.377796356521232
AT4G36780	regulates	AT5G12010	0.647969651561297
AT1G51140	regulates	AT5G14730	0.37292867139847
AT4G36730	regulates	AT5G16540	0.415726978949269
AT1G51140	regulates	AT5G23730	0.592968185092484
AT1G51140	regulates	AT5G37020	0.369856022034138
AT4G36780	regulates	AT5G40590	0.675786514245271
AT1G51140	regulates	AT5G43520	0.334617843067702
AT1G51140	regulates	AT5G47740	0.452961879340699
AT4G36780	regulates	AT5G50100	0.665351900298478
AT4G36730	regulates	AT5G58770	0.594668841198719
AT1G51140	regulates	AT5G60850	0.434714129059003
AT4G36780	regulates	AT5G64840	1
AT1G51140	regulates	AT5G65340	0.416999644556466
AT1G01260	regulates	AT1G67265	0.46375217368526
AT1G58100	regulates	AT2G26580	1
AT1G58100	regulates	AT3G48920	0.561951050396384
AT1G01260	regulates	AT3G60390	0.35983582017457
AT1G58100	regulates	AT5G50335	0.440860132082258
AT1G68640	regulates	AT1G01580	0.692777023866878
AT2G28450	regulates	AT1G05805	0.553724264179452
AT2G28450	regulates	AT1G08920	0.535312687377503
AT2G28450	regulates	AT1G17750	0.511353790369224
AT1G43700	regulates	AT1G19670	1
AT1G68640	regulates	AT1G51640	0.583883113488913
AT2G28450	regulates	AT1G68640	0.819996712390225
AT2G28450	regulates	AT1G79310	0.373248671620815
AT1G68640	regulates	AT2G28450	0.349540243288275
AT2G28450	regulates	AT2G28510	0.569380829857769
AT2G28450	regulates	AT2G41690	0.461812355966206
AT2G28450	regulates	AT3G17690	0.538094949960099
AT1G43700	regulates	AT3G23240	0.712059831874196
AT2G28450	regulates	AT3G53232	0.394809623115081
AT2G28450	regulates	AT4G00210	0.456435026108632
AT1G68640	regulates	AT4G00940	0.384504051763057
AT2G28450	regulates	AT4G36870	0.416551581124857
AT1G68640	regulates	AT5G48150	0.391087429978149
AT2G28450	regulates	AT5G64770	0.35625405958216
AT5G11260	regulates	AT1G02810	0.360931398574863
AT3G57920	regulates	AT1G07135	0.986113406620989
AT4G17230	regulates	AT1G18300	0.40040288871302
AT4G17230	regulates	AT1G19380	0.498329883739919
AT4G17230	regulates	AT1G19510	0.371827265193677
AT4G17230	regulates	AT1G20310	0.730542572753144
AT4G17230	regulates	AT1G20520	0.373923268940872
AT5G11260	regulates	AT1G24140	0.477025954923885
AT4G17230	regulates	AT1G30135	0.385198955579331
AT3G57920	regulates	AT1G50040	0.640700519407333
AT3G57920	regulates	AT1G72940	0.454174742678079
AT3G57920	regulates	AT1G74450	0.372584423003691
AT4G17230	regulates	AT1G74930	0.405557902262314
AT4G17230	regulates	AT2G15760	0.411721677448748
AT4G17230	regulates	AT2G22500	0.387374257247668
AT4G17230	regulates	AT2G22880	0.377769044477432
AT5G11260	regulates	AT2G25460	0.418451162299512
AT5G11260	regulates	AT2G35930	0.464584331964349
AT4G17230	regulates	AT2G37430	0.532278159307233
AT4G17230	regulates	AT2G39650	0.364800351094475
AT3G57920	regulates	AT3G02140	0.472080118838103
AT4G17230	regulates	AT3G16350	0.351265111956545
AT4G17230	regulates	AT3G16860	0.350817280046599
AT5G11260	regulates	AT3G20600	0.430202638664794
AT3G57920	regulates	AT3G23630	1
AT4G17230	regulates	AT3G25655	0.718064550488759
AT5G11260	regulates	AT3G29000	0.399197789933734
AT3G57920	regulates	AT3G47960	0.628602442516544
AT3G57920	regulates	AT3G50260	0.518181470980223
AT3G57920	regulates	AT3G50930	0.879630613815651
AT4G17230	regulates	AT3G61190	0.403128713631969
AT4G17230	regulates	AT4G01120	0.351402927213128
AT5G11260	regulates	AT4G03400	0.460208658965592
AT4G17230	regulates	AT4G20860	0.393182653058881
AT4G17230	regulates	AT4G21840	0.446818840225785
AT5G11260	regulates	AT4G24150	0.338108025305817
AT4G17230	regulates	AT4G24380	0.435504870638151
AT3G57920	regulates	AT4G24570	0.794793229101883
AT3G57920	regulates	AT4G27652	0.353624932021097
AT4G17230	regulates	AT4G31800	0.46146122788541
AT5G11260	regulates	AT4G33280	0.371971730411408
AT4G17230	regulates	AT4G35660	0.616724975670702
AT3G57920	regulates	AT5G01040	0.331448222253594
AT4G17230	regulates	AT5G05410	0.404535913121125
AT3G57920	regulates	AT5G15130	0.35551335320628
AT3G57920	regulates	AT5G18670	0.599565322761334
AT4G17230	regulates	AT5G20150	0.414807194426648
AT4G17230	regulates	AT5G41740	0.467491152919874
AT4G17230	regulates	AT5G42380	0.429415455231249
AT5G11260	regulates	AT5G43170	0.776667844286925
AT3G57920	regulates	AT5G51190	0.435094804857689
AT5G11260	regulates	AT5G52020	0.433503742803235
AT4G17230	regulates	AT5G52510	0.770505126414888
AT3G57920	regulates	AT5G58750	0.567785408419282
AT4G17230	regulates	AT5G62520	0.392207839930021
AT4G17230	regulates	AT5G65300	0.379721911960156
AT5G11260	regulates	AT5G67080	0.400432854502365
AT1G04990	regulates	AT1G12240	0.356833342585199
AT1G04990	regulates	AT1G13930	0.9047078044414
AT2G36080	regulates	AT1G15100	0.78872101298007
AT2G36080	regulates	AT1G18830	0.397131126593314
AT1G30330	regulates	AT1G19220	0.756615498533602
AT1G04990	regulates	AT1G22810	0.960184942034252
AT1G30330	regulates	AT1G30330	0.717384988745478
AT1G30330	regulates	AT1G32690	0.543189832481128
AT2G36080	regulates	AT1G43160	0.333268513740996
AT1G04990	regulates	AT1G44020	0.459734238258587
AT1G30330	regulates	AT1G48500	0.489189144486269
AT1G30330	regulates	AT1G51800	0.540083596744451
AT1G04990	regulates	AT1G51820	0.357295495008738
AT1G30330	regulates	AT1G59640	0.426272289516618
AT2G36080	regulates	AT1G64530	0.539887425397735
AT1G30330	regulates	AT1G68880	0.778132639359927
AT2G36080	regulates	AT1G69570	0.438474746876669
AT1G30330	regulates	AT1G69810	0.405092269386695
AT1G04990	regulates	AT2G27660	0.609265676073832
AT2G36080	regulates	AT2G28710	0.335784363077507
AT1G30330	regulates	AT2G35940	0.397122746470395
AT1G30330	regulates	AT2G36090	0.544756206142513
AT1G30330	regulates	AT2G37360	0.585531457217155
AT1G04990	regulates	AT2G39415	1
AT1G04990	regulates	AT2G40080	0.50967393677583
AT2G36080	regulates	AT2G42350	0.48227915367336
AT1G30330	regulates	AT2G43140	0.336324359461143
AT2G36080	regulates	AT3G04060	0.410008137022016
AT1G04990	regulates	AT3G11020	0.397827234759413
AT1G30330	regulates	AT3G11402	0.421321307294257
AT1G30330	regulates	AT3G13760	0.766095400437858
AT1G30330	regulates	AT3G46810	0.690352531785945
AT2G36080	regulates	AT3G52450	0.344097083449777
AT2G36080	regulates	AT3G52740	0.532821688278928
AT2G36080	regulates	AT4G17090	0.385502500716232
AT2G36080	regulates	AT4G21680	0.337786089969817
AT1G30330	regulates	AT4G27310	0.408612531074774
AT2G36080	regulates	AT4G31550	0.366602279251739
AT1G04990	regulates	AT4G37430	0.688654737711139
AT2G36080	regulates	AT5G02970	0.419517701057673
AT1G30330	regulates	AT5G24230	0.831933197848764
AT1G04990	regulates	AT5G25890	0.403840640542728
AT1G04990	regulates	AT5G37260	0.702524526219228
AT1G30330	regulates	AT5G41590	0.467168092101017
AT1G04990	regulates	AT5G42410	0.497633228512161
AT1G30330	regulates	AT5G46780	0.618326682632513
AT2G36080	regulates	AT5G48540	0.440551107770214
AT1G30330	regulates	AT5G49330	0.376926990278939
AT2G36080	regulates	AT5G54040	0.460874542308858
AT1G04990	regulates	AT5G55770	0.680458170230063
AT1G30330	regulates	AT5G57520	0.619889271191326
AT1G30330	regulates	AT5G58900	0.373922899402583
AT1G04990	regulates	AT5G64750	0.338775785479913
AT1G04990	regulates	AT5G64850	0.711382804068154
AT2G36080	regulates	AT5G65310	0.382079230347353
AT1G30330	regulates	AT1G58100	1
