Feature,Importance,Target Gene
AT3G57920,0.38685985197763995,AT1G02810
AT4G17230,0.4949497971127759,AT1G02810
AT5G11260,0.11819035090958407,AT1G02810
AT3G57920,0.1688540621883182,AT1G07135
AT4G17230,0.4318675711168424,AT1G07135
AT5G11260,0.39927836669483935,AT1G07135
AT3G57920,0.3653064208605379,AT1G09070
AT4G17230,0.3043381845610551,AT1G09070
AT5G11260,0.33035539457840707,AT1G09070
AT3G57920,0.3301111763695222,AT1G09950
AT4G17230,0.13572564669458262,AT1G09950
AT5G11260,0.5341631769358952,AT1G09950
AT3G57920,0.6079802550390786,AT1G12610
AT4G17230,0.23241464417935007,AT1G12610
AT5G11260,0.15960510078157136,AT1G12610
AT3G57920,0.3299053887289181,AT1G18300
AT4G17230,0.19333607568901687,AT1G18300
AT5G11260,0.476758535582065,AT1G18300
AT3G57920,0.4182285816099361,AT1G19380
AT4G17230,0.12793089263677498,AT1G19380
AT5G11260,0.45384052575328887,AT1G19380
AT3G57920,0.21485259416648353,AT1G19510
AT4G17230,0.12669683257918543,AT1G19510
AT5G11260,0.658450573254331,AT1G19510
AT3G57920,0.3685584360464462,AT1G20310
AT4G17230,0.14767585355820645,AT1G20310
AT5G11260,0.4837657103953472,AT1G20310
AT3G57920,0.4072398190045249,AT1G20520
AT4G17230,0.07280954339777869,AT1G20520
AT5G11260,0.5199506375976964,AT1G20520
AT3G57920,0.46688605512134923,AT1G24140
AT4G17230,0.44179350061703004,AT1G24140
AT5G11260,0.09132044426162073,AT1G24140
AT3G57920,0.3516979522612023,AT1G27730
AT4G17230,0.3614639743058619,AT1G27730
AT5G11260,0.28683807343293577,AT1G27730
AT3G57920,0.4105666732335002,AT1G30135
AT4G17230,0.04712326637316449,AT1G30135
AT5G11260,0.5423100603933353,AT1G30135
AT3G57920,0.3146853146853147,AT1G35210
AT4G17230,0.5178938708350473,AT1G35210
AT5G11260,0.167420814479638,AT1G35210
AT3G57920,0.07527766351295763,AT1G50040
AT4G17230,0.4738605965276646,AT1G50040
AT5G11260,0.4508617399593778,AT1G50040
AT3G57920,0.3581240423549877,AT1G61840
AT4G17230,0.4457848520195168,AT1G61840
AT5G11260,0.19609110562549542,AT1G61840
AT3G57920,0.24187577128753598,AT1G66160
AT4G17230,0.5754833401892225,AT1G66160
AT5G11260,0.18264088852324145,AT1G66160
AT3G57920,0.03578774167009461,AT1G72940
AT4G17230,0.4918683034997752,AT1G72940
AT5G11260,0.4723439548301302,AT1G72940
AT3G57920,0.09913615795968739,AT1G74450
AT4G17230,0.5418837363949609,AT1G74450
AT5G11260,0.3589801056453518,AT1G74450
AT3G57920,0.4418821621119288,AT1G74930
AT4G17230,0.21718882867584674,AT1G74930
AT5G11260,0.34092900921222447,AT1G74930
AT3G57920,0.6682222137427886,AT2G15760
AT4G17230,0.1643569717775735,AT2G15760
AT5G11260,0.16742081447963802,AT2G15760
AT3G57920,0.448786507610037,AT2G22500
AT4G17230,0.05553270259152612,AT2G22500
AT5G11260,0.4956807897984369,AT2G22500
AT3G57920,0.5194618049933873,AT2G22880
AT4G17230,0.06115722593061925,AT2G22880
AT5G11260,0.4193809690759934,AT2G22880
AT3G57920,0.6420814022666205,AT2G25460
AT4G17230,0.3073221353722113,AT2G25460
AT5G11260,0.05059646236116824,AT2G25460
AT3G57920,0.2750996267114998,AT2G27080
AT4G17230,0.49778295227296093,AT2G27080
AT5G11260,0.2271174210155393,AT2G27080
AT3G57920,0.5022089718109682,AT2G30040
AT4G17230,0.11596903334074823,AT2G30040
AT5G11260,0.3818219948482836,AT2G30040
AT3G57920,0.16647097960262017,AT2G35290
AT4G17230,0.3883394432141561,AT2G35290
AT5G11260,0.4451895771832237,AT2G35290
AT3G57920,0.37135767039858136,AT2G35710
AT4G17230,0.42296565333650715,AT2G35710
AT5G11260,0.20567667626491157,AT2G35710
AT3G57920,0.6293706293706294,AT2G35930
AT4G17230,0.24228712464006583,AT2G35930
AT5G11260,0.12834224598930483,AT2G35930
AT3G57920,0.275324830129566,AT2G37430
AT4G17230,0.15987690768199964,AT2G37430
AT5G11260,0.5647982621884344,AT2G37430
AT3G57920,0.6412998765939942,AT2G39650
AT4G17230,0.15014397367338544,AT2G39650
AT5G11260,0.20855614973262032,AT2G39650
AT3G57920,0.22171945701357465,AT2G40140
AT4G17230,0.5425750719868367,AT2G40140
AT5G11260,0.23570547099958863,AT2G40140
AT3G57920,0.1398601398601399,AT3G02140
AT4G17230,0.5710863638202848,AT3G02140
AT5G11260,0.2890534963195752,AT3G02140
AT3G57920,0.34490675285998074,AT3G11390
AT4G17230,0.5101535954927686,AT3G11390
AT5G11260,0.14493965164725062,AT3G11390
AT3G57920,0.5150143973673386,AT3G16350
AT4G17230,0.07527766351295763,AT3G16350
AT5G11260,0.4097079391197038,AT3G16350
AT3G57920,0.6318662671631363,AT3G16860
AT4G17230,0.19457013574660628,AT3G16860
AT5G11260,0.17356359709025754,AT3G16860
AT3G57920,0.6585767174002468,AT3G20600
AT4G17230,0.20156314273961332,AT3G20600
AT5G11260,0.13986013986013987,AT3G20600
AT3G57920,0.20487005285411408,AT3G23630
AT4G17230,0.355894064639503,AT3G23630
AT5G11260,0.4392358825063829,AT3G23630
AT3G57920,0.3628603136490278,AT3G25655
AT4G17230,0.18716577540106955,AT3G25655
AT5G11260,0.44997391094990263,AT3G25655
