Regulator	Interaction	Target	Weight
AT1G01260	regulates	AT1G01260	0.327879712149352
AT1G30330	regulates	AT1G01260	0.457793102854451
AT3G48590	regulates	AT1G01260	0.426997880309582
AT4G36780	regulates	AT1G01260	0.22971646570749
AT5G37020	regulates	AT1G01260	0.563943820714278
AT5G63470	regulates	AT1G01260	0.404640036051226
AT1G01260	regulates	AT1G04990	0.338571104228125
AT1G30330	regulates	AT1G04990	0.392974145165177
AT3G48590	regulates	AT1G04990	0.174779490954303
AT4G17230	regulates	AT1G04990	0.225336150708878
AT5G37020	regulates	AT1G04990	0.342296462012589
AT1G43700	regulates	AT1G30330	0.313068480554785
AT1G51140	regulates	AT1G30330	0.521533434845317
AT2G28450	regulates	AT1G30330	0.21843370448765
AT5G63470	regulates	AT1G30330	0.194799718066411
AT1G43700	regulates	AT1G43700	0.417011782588676
AT1G51140	regulates	AT1G43700	0.709968481860124
AT2G28450	regulates	AT1G43700	0.164179152475293
AT5G37020	regulates	AT1G43700	0.804665457099724
AT1G30330	regulates	AT1G51140	0.188965208178022
AT3G48590	regulates	AT1G51140	0.334654895133502
AT5G11260	regulates	AT1G51140	0.474564645999846
AT5G37020	regulates	AT1G51140	0.158117209315013
AT5G63470	regulates	AT1G51140	0.347195122745992
AT1G04990	regulates	AT1G58100	0.841582520605654
AT1G30330	regulates	AT1G58100	0.701693418399635
AT1G43700	regulates	AT1G58100	0.955194616511031
AT1G51140	regulates	AT1G58100	0.881731180700781
AT3G57920	regulates	AT1G58100	0.65326373316332
AT5G37020	regulates	AT1G58100	0.74244369015247
AT1G01260	regulates	AT1G68640	0.0348306211012021
AT1G30330	regulates	AT1G68640	0.515262996031244
AT2G28450	regulates	AT1G68640	0.734454854613437
AT3G57920	regulates	AT1G68640	0.317160803015501
AT4G17230	regulates	AT1G68640	0.333476135354588
AT5G11260	regulates	AT1G68640	0.66255557370593
AT5G37020	regulates	AT1G68640	0.522687545673853
AT1G58100	regulates	AT2G28450	0.172850912345252
AT3G48590	regulates	AT2G28450	0.158069530639013
AT4G17230	regulates	AT2G28450	0.452075806025239
AT4G36730	regulates	AT2G28450	0.39581916403973
AT5G06110	regulates	AT2G28450	0.298140393334815
AT5G11260	regulates	AT2G28450	0.191004654934698
AT5G63470	regulates	AT2G28450	0.189857214182051
AT1G30330	regulates	AT2G36080	0.220667420646381
AT3G57920	regulates	AT2G36080	0.102607826193463
AT4G36780	regulates	AT2G36080	0.256274682629529
AT5G11260	regulates	AT2G36080	0.303485599691721
AT5G37020	regulates	AT2G36080	0.171840966662725
AT1G30330	regulates	AT3G48590	0.660620212674525
AT4G36730	regulates	AT3G48590	0.87384255748488
AT4G36780	regulates	AT3G48590	0.72638791989079
AT5G11260	regulates	AT3G48590	0.715410892645563
AT5G37020	regulates	AT3G48590	0.632989884129337
AT5G63470	regulates	AT3G48590	0.211879691112518
AT1G01260	regulates	AT3G57920	0.255576638073319
AT1G51140	regulates	AT3G57920	0.23895049996757
AT3G48590	regulates	AT3G57920	0.530026660608635
AT3G57920	regulates	AT3G57920	0.131724744891318
AT5G63470	regulates	AT3G57920	0.432951384576404
AT1G01260	regulates	AT4G17230	0.361158733706407
AT1G04990	regulates	AT4G17230	0.0700743354689632
AT1G58100	regulates	AT4G17230	0.258877721719607
AT5G06110	regulates	AT4G17230	0.298046578580746
AT5G63470	regulates	AT4G17230	0.242465775214643
AT1G01260	regulates	AT4G36730	0.215852149170643
AT1G43700	regulates	AT4G36730	0.232341650033785
AT2G28450	regulates	AT4G36730	0.421408206551263
AT3G48590	regulates	AT4G36730	0.285547024168167
AT4G17230	regulates	AT4G36730	0.460305587051152
AT4G36780	regulates	AT4G36730	0.262138423659599
AT5G63470	regulates	AT4G36730	0.280542400411723
AT1G01260	regulates	AT4G36780	0.147083922854098
AT1G30330	regulates	AT4G36780	0.217510787138634
AT1G68640	regulates	AT4G36780	0.28303366201496
AT3G48590	regulates	AT4G36780	0.169788715072203
AT4G36780	regulates	AT4G36780	0.237032669417457
AT5G11260	regulates	AT4G36780	0.18468835094012
AT5G63470	regulates	AT4G36780	0.235170316663127
AT1G30330	regulates	AT5G06110	0
AT3G57920	regulates	AT5G06110	0.382167475179815
AT4G17230	regulates	AT5G06110	0.325325269437438
AT4G36780	regulates	AT5G06110	0.125173518134954
AT5G37020	regulates	AT5G06110	0.0133599452934757
AT1G04990	regulates	AT5G11260	0.220194714988262
AT1G68640	regulates	AT5G11260	0.175187618807132
AT2G28450	regulates	AT5G11260	0.435241195358996
AT4G17230	regulates	AT5G11260	0.233943332252191
AT4G36730	regulates	AT5G11260	0.387430718538056
AT5G06110	regulates	AT5G11260	0.132193248518296
AT1G30330	regulates	AT5G37020	0.495918423988912
AT1G51140	regulates	AT5G37020	0.301305145755402
AT2G28450	regulates	AT5G37020	0.385367343190713
AT5G37020	regulates	AT5G37020	0.501370494664183
AT1G01260	regulates	AT5G63470	0.470154654183322
AT1G30330	regulates	AT5G63470	0.496795157699407
AT1G43700	regulates	AT5G63470	1
AT3G48590	regulates	AT5G63470	0.271261837969323
AT4G36780	regulates	AT5G63470	0.33436068123773
AT5G63470	regulates	AT5G63470	0.399794883931543
