Feature,Importance,Target Gene
AT1G51140,0.4683692529849763,AT1G01060
AT4G36730,0.10165735726197307,AT1G01060
AT4G36780,0.09634414897058961,AT1G01060
AT5G37020,0.33362924078246115,AT1G01060
AT1G51140,0.07326216246681136,AT1G01520
AT4G36730,0.37871355434129433,AT1G01520
AT4G36780,0.2511051772246267,AT1G01520
AT5G37020,0.29691910596726756,AT1G01520
AT1G51140,0.3500038207154106,AT1G02030
AT4G36730,0.49706092745546593,AT1G02030
AT4G36780,0.030465505013377317,AT1G02030
AT5G37020,0.12246974681574613,AT1G02030
AT1G51140,0.4360406364799549,AT1G02340
AT4G36730,0.12109039041569902,AT1G02340
AT4G36780,0.16755360838103658,AT1G02340
AT5G37020,0.27531536472330936,AT1G02340
AT1G51140,0.07301229341000558,AT1G03170
AT4G36730,0.4094712803542844,AT1G03170
AT4G36780,0.49994012019213113,AT1G03170
AT5G37020,0.01757630604357902,AT1G03170
AT1G51140,0.1319648535735301,AT1G05420
AT4G36730,0.4572404302874171,AT1G05420
AT4G36780,0.17483666621167954,AT1G05420
AT5G37020,0.23595804992737315,AT1G05420
AT1G51140,0.5592008452227725,AT1G05710
AT4G36730,0.07755851543803709,AT1G05710
AT4G36780,0.1391614572913499,AT1G05710
AT5G37020,0.2240791820478405,AT1G05710
AT1G51140,0.26082771781967123,AT1G06040
AT4G36730,0.011604678077969596,AT1G06040
AT4G36780,0.2048886680691947,AT1G06040
AT5G37020,0.5226789360331645,AT1G06040
AT1G51140,0.3334371026855531,AT1G07010
AT4G36730,0.2189341511114541,AT1G07010
AT4G36780,0.4256521504291436,AT1G07010
AT5G37020,0.02197659577384938,AT1G07010
AT1G51140,0.5432137168417415,AT1G07128
AT4G36730,0.21484774516274543,AT1G07128
AT4G36780,0.16824472854151637,AT1G07128
AT5G37020,0.0736938094539966,AT1G07128
AT1G51140,0.5610800290200567,AT1G07160
AT4G36730,0.0278060767709914,AT1G07160
AT4G36780,0.08818098893153133,AT1G07160
AT5G37020,0.3229329052774205,AT1G07160
AT1G51140,0.5241531948258946,AT1G10120
AT4G36730,0.10332148492063764,AT1G10120
AT4G36780,0.07277454256296355,AT1G10120
AT5G37020,0.2997507776905041,AT1G10120
AT1G51140,0.17832815981367348,AT1G10370
AT4G36730,0.2742305081606532,AT1G10370
AT4G36780,0.39332950467237443,AT1G10370
AT5G37020,0.15411182735329892,AT1G10370
AT1G51140,0.6540139449039477,AT1G10480
AT4G36730,0.0972596422953505,AT1G10480
AT4G36780,0.18274027466271003,AT1G10480
AT5G37020,0.06598613813799172,AT1G10480
AT1G51140,0.1654034101069966,AT1G12370
AT4G36730,0.42124233802065203,AT1G12370
AT4G36780,0.2843249323060438,AT1G12370
AT5G37020,0.12902931956630764,AT1G12370
AT1G51140,0.3710725094844835,AT1G13670
AT4G36730,0.35870133982978863,AT1G13670
AT4G36780,0.11612951886267317,AT1G13670
AT5G37020,0.15409663182305466,AT1G13670
AT1G51140,0.34367785572395926,AT1G13740
AT4G36730,0.16114173629671685,AT1G13740
AT4G36780,0.45831973784698393,AT1G13740
AT5G37020,0.03686067013234003,AT1G13740
AT1G51140,0.22138278669776157,AT1G14345
AT4G36730,0.2681070594013597,AT1G14345
AT4G36780,0.3443321474763789,AT1G14345
AT5G37020,0.16617800642449979,AT1G14345
AT1G51140,0.08882514883407247,AT1G14430
AT4G36730,0.4347780612903128,AT1G14430
AT4G36780,0.46829478307476774,AT1G14430
AT5G37020,0.008102006800846972,AT1G14430
AT1G51140,0.18118960608419285,AT1G16720
AT4G36730,0.30678397662159224,AT1G16720
AT4G36780,0.33149414435525265,AT1G16720
AT5G37020,0.1805322729389622,AT1G16720
AT1G51140,0.2650812758483192,AT1G17100
AT4G36730,0.10368196628096314,AT1G17100
AT4G36780,0.09452766836019817,AT1G17100
AT5G37020,0.5367090895105194,AT1G17100
AT1G51140,0.4787078483743454,AT1G17920
AT4G36730,0.13638165682389555,AT1G17920
AT4G36780,0.14498941107013957,AT1G17920
AT5G37020,0.2399210837316195,AT1G17920
AT1G51140,0.11811740153675679,AT1G18330
AT4G36730,0.12942494864393111,AT1G18330
AT4G36780,0.22700180726623145,AT1G18330
AT5G37020,0.5254558425530806,AT1G18330
AT1G51140,0.2673772108458093,AT1G18810
AT4G36730,0.4936407931589171,AT1G18810
AT4G36780,0.04063104887057377,AT1G18810
AT5G37020,0.19835094712469978,AT1G18810
AT1G51140,0.23452555298585923,AT1G19490
AT4G36730,0.48851243258898447,AT1G19490
AT4G36780,0.17204330158435224,AT1G19490
AT5G37020,0.10491871284080413,AT1G19490
AT1G51140,0.171952747603867,AT1G22680
AT4G36730,0.5668831960631211,AT1G22680
AT4G36780,0.24286025579093107,AT1G22680
AT5G37020,0.018303800542080806,AT1G22680
AT1G51140,0.1543282985169618,AT1G23010
AT4G36730,0.27494846540210216,AT1G23010
AT4G36780,0.3020598123846517,AT1G23010
AT5G37020,0.2686634236962843,AT1G23010
AT1G51140,0.1352325866232265,AT1G26790
AT4G36730,0.1895188469941773,AT1G26790
AT4G36780,0.1834995565184395,AT1G26790
AT5G37020,0.4917490098641567,AT1G26790
AT1G51140,0.39791412458092085,AT1G27740
AT4G36730,0.3743276507027824,AT1G27740
AT4G36780,0.11926660881648396,AT1G27740
