Feature,Importance,Target Gene
AT1G51140,0.5016384753823028,AT1G01060
AT4G36730,0.2947967821185626,AT1G01060
AT4G36780,0.28752756944699015,AT1G01060
AT5G37020,0.392090601105815,AT1G01060
AT1G51140,0.08201420660692574,AT1G01520
AT4G36730,0.58709484856281,AT1G01520
AT4G36780,0.4772431075484102,AT1G01520
AT5G37020,0.3297012653355246,AT1G01520
AT1G51140,0.5209600334307073,AT1G02030
AT4G36730,0.627216450505735,AT1G02030
AT4G36780,0.16940308779390126,AT1G02030
AT5G37020,0.15847385632332697,AT1G02030
AT1G51140,0.5297801870331118,AT1G02340
AT4G36730,0.1487147079462062,AT1G02340
AT4G36780,0.34862224046862433,AT1G02340
AT5G37020,0.4489362926057283,AT1G02340
AT1G51140,0.2057095751577338,AT1G03170
AT4G36730,0.5376877240503279,AT1G03170
AT4G36780,0.650215659997697,AT1G03170
AT5G37020,0.08244046884791181,AT1G03170
AT1G51140,0.32365707247821074,AT1G05420
AT4G36730,0.45987779594910233,AT1G05420
AT4G36780,0.3406699723792699,AT1G05420
AT5G37020,0.35184858724708745,AT1G05420
AT1G51140,0.6473892763077709,AT1G05710
AT4G36730,0.11554371538084535,AT1G05710
AT4G36780,0.33091284174794344,AT1G05710
AT5G37020,0.3822075946171106,AT1G05710
AT1G51140,0.49854612262647113,AT1G06040
AT4G36730,0.19733334599648,AT1G06040
AT4G36780,0.31367703583050904,AT1G06040
AT5G37020,0.4664969236002102,AT1G06040
AT1G51140,0.542995181209666,AT1G07010
AT4G36730,0.1584785459174001,AT1G07010
AT4G36780,0.4394166024956599,AT1G07010
AT5G37020,0.3351630984309446,AT1G07010
AT1G51140,0.6877673330971564,AT1G07128
AT4G36730,0.373414655894513,AT1G07128
AT4G36780,0.2347572573580748,AT1G07128
AT5G37020,0.18011418170392626,AT1G07128
AT1G51140,0.6050620733512048,AT1G07160
AT4G36730,0.06711675004470612,AT1G07160
AT4G36780,0.2677661710290697,AT1G07160
AT5G37020,0.5361084336286898,AT1G07160
AT1G51140,0.6273993356948779,AT1G10120
AT4G36730,0.2793949578318556,AT1G10120
AT4G36780,0.10786507793149809,AT1G10120
AT5G37020,0.46139405659543886,AT1G10120
AT1G51140,0.4256328478262538,AT1G10370
AT4G36730,0.4001313077282471,AT1G10370
AT4G36780,0.35094976611066286,AT1G10370
AT5G37020,0.2993395063885065,AT1G10370
AT1G51140,0.6849254366689742,AT1G10480
AT4G36730,0.20734025789747335,AT1G10480
AT4G36780,0.3794872038393847,AT1G10480
AT5G37020,0.20430052964783854,AT1G10480
AT1G51140,0.2847671977610742,AT1G12370
AT4G36730,0.5154954176954201,AT1G12370
AT4G36780,0.4365620792968281,AT1G12370
AT5G37020,0.2392287333003481,AT1G12370
AT1G51140,0.591392858463297,AT1G13670
AT4G36730,0.5051733657509888,AT1G13670
AT4G36780,0.11536410996717295,AT1G13670
AT5G37020,0.26412309387221167,AT1G13670
AT1G51140,0.4753296412231644,AT1G13740
AT4G36730,0.3632866739228194,AT1G13740
AT4G36780,0.3770115571253525,AT1G13740
AT5G37020,0.26042555578233423,AT1G13740
AT1G51140,0.35459284326752105,AT1G14345
AT4G36730,0.41591797540796555,AT1G14345
AT4G36780,0.4426338745582582,AT1G14345
AT5G37020,0.2629087348199257,AT1G14345
AT1G51140,0.2298931899651821,AT1G14430
AT4G36730,0.5292850078785137,AT1G14430
AT4G36780,0.6631118808750246,AT1G14430
AT5G37020,0.0537633493349501,AT1G14430
AT1G51140,0.28294565918264525,AT1G16720
AT4G36730,0.40134566678053324,AT1G16720
AT4G36780,0.4869579799666984,AT1G16720
AT5G37020,0.30480412212379376,AT1G16720
AT1G51140,0.3417990861449346,AT1G17100
AT4G36730,0.26639477084312335,AT1G17100
AT4G36780,0.19670432509900862,AT1G17100
AT5G37020,0.6711552459666038,AT1G17100
AT1G51140,0.6104638185879383,AT1G17920
AT4G36730,0.27506399977475454,AT1G17920
AT4G36780,0.11395440988892723,AT1G17920
AT5G37020,0.4765711998020505,AT1G17920
AT1G51140,0.20457019302666898,AT1G18330
AT4G36730,0.2888339413827512,AT1G18330
AT4G36780,0.3311299132780124,AT1G18330
AT5G37020,0.6515193803662381,AT1G18330
AT1G51140,0.3691651518949535,AT1G18810
AT4G36730,0.5725702931528636,AT1G18810
AT4G36780,0.233156938038918,AT1G18810
AT5G37020,0.3011610449669356,AT1G18810
AT1G51140,0.2490501400150959,AT1G19490
AT4G36730,0.665963431288946,AT1G19490
AT4G36780,0.3762631169034037,AT1G19490
AT5G37020,0.1847767398462251,AT1G19490
AT1G51140,0.34967795337093494,AT1G22680
AT4G36730,0.6958034869788097,AT1G22680
AT4G36780,0.32630947026965323,AT1G22680
AT5G37020,0.10426251743427278,AT1G22680
AT1G51140,0.18392459970665304,AT1G23010
AT4G36730,0.3792579434720413,AT1G23010
AT4G36780,0.4947575053042996,AT1G23010
AT5G37020,0.4181133795706764,AT1G23010
AT1G51140,0.2914461725486474,AT1G26790
AT4G36730,0.2990280860581957,AT1G26790
AT4G36780,0.3005935476016237,AT1G26790
AT5G37020,0.5849856218452035,AT1G26790
AT1G51140,0.6023084812148841,AT1G27740
AT4G36730,0.4152755755062874,AT1G27740
AT4G36780,0.21033052608678532,AT1G27740
AT5G37020,0.24813884524571375,AT1G27740
AT1G51140,0.5028125320986203,AT1G28600
AT4G36730,0.3542313233829121,AT1G28600
AT4G36780,0.3330871144082291,AT1G28600
AT5G37020,0.2859224581639089,AT1G28600
AT1G51140,0.7279638676112851,AT1G34520
AT4G36730,0.42753587649914,AT1G34520
AT4G36780,0.19729624013621325,AT1G34520
AT5G37020,0.12325744380703216,AT1G34520
AT1G51140,0.5777177706973169,AT1G42550
AT4G36730,0.17260570164907293,AT1G42550
AT4G36780,0.3877810250978398,AT1G42550
AT5G37020,0.3379489306094408,AT1G42550
AT1G51140,0.611590705918934,AT1G48100
AT4G36730,0.5012508915682259,AT1G48100
AT4G36780,0.20947693651934038,AT1G48100
AT5G37020,0.15373489404717003,AT1G48100
AT1G51140,0.3306140212872215,AT1G49010
AT4G36730,0.23688436720921702,AT1G49010
AT4G36780,0.28821751344749946,AT1G49010
AT5G37020,0.6203375261097325,AT1G49010
AT1G51140,0.30569683337284836,AT1G50020
AT4G36730,0.5682917946921116,AT1G50020
AT4G36780,0.3017682244930787,AT1G50020
AT5G37020,0.3002965754956319,AT1G50020
AT1G51140,0.5076479693501735,AT1G50250
AT4G36730,0.18161751572375406,AT1G50250
AT4G36780,0.42613555659514674,AT1G50250
AT5G37020,0.3606523863845962,AT1G50250
AT1G51140,0.2805169410780732,AT1G51140
AT4G36730,0.6533251701298848,AT1G51140
AT4G36780,0.3885948967315299,AT1G51140
AT5G37020,0.158117209315013,AT1G51140
AT1G51140,0.15615797250462368,AT1G52200
AT4G36730,0.5059229247693596,AT1G52200
AT4G36780,0.6571672309877502,AT1G52200
AT5G37020,0.15680529979193691,AT1G52200
AT1G51140,0.49120823664969954,AT1G58460
AT4G36730,0.0522174392482992,AT1G58460
AT4G36780,0.5713559341005776,AT1G58460
