Feature,Importance,Target Gene
AT1G51140,0.4222531574685624,AT1G01060
AT4G36730,0.2315196171503095,AT1G01060
AT4G36780,0.19736675202536563,AT1G01060
AT5G37020,0.14886047335576244,AT1G01060
AT1G01260,0.21872616379816112,AT1G01260
AT1G58100,0.149934141534864,AT1G01260
AT3G48590,0.07981254175542875,AT1G01260
AT5G06110,0.4481152741620111,AT1G01260
AT5G63470,0.10341187874953514,AT1G01260
AT1G51140,0.0424034821081054,AT1G01520
AT4G36730,0.32344219157330034,AT1G01520
AT4G36780,0.5175491488555234,AT1G01520
AT5G37020,0.11660517746307086,AT1G01520
AT1G43700,0.37779376053325425,AT1G01580
AT1G68640,0.616485793376541,AT1G01580
AT2G28450,0.0057204460902049534,AT1G01580
AT1G51140,0.05699088001417631,AT1G02030
AT4G36730,0.4136175620831564,AT1G02030
AT4G36780,0.4352667145799656,AT1G02030
AT5G37020,0.09412484332270163,AT1G02030
AT1G51140,0.09653964592283952,AT1G02340
AT4G36730,0.30341992903066756,AT1G02340
AT4G36780,0.5072871897663173,AT1G02340
AT5G37020,0.09275323528017558,AT1G02340
AT3G57920,0.08411499458857005,AT1G02810
AT4G17230,0.46619595411144404,AT1G02810
AT5G11260,0.449689051299986,AT1G02810
AT1G51140,0.00018323104989744835,AT1G03170
AT4G36730,0.4885552136126999,AT1G03170
AT4G36780,0.3435821152570255,AT1G03170
AT5G37020,0.16767944008037722,AT1G03170
AT1G04990,0.015449417120588017,AT1G04990
AT1G30330,0.018032794292948264,AT1G04990
AT2G36080,0.9665177885864638,AT1G04990
AT1G51140,0.01621797579614381,AT1G05420
AT4G36730,0.4986999226929332,AT1G05420
AT4G36780,0.4645463822992697,AT1G05420
AT5G37020,0.020535719211653234,AT1G05420
AT1G51140,0.09312963500258713,AT1G05710
AT4G36730,0.35337736760611155,AT1G05710
AT4G36780,0.417935675107307,AT1G05710
AT5G37020,0.13555732228399428,AT1G05710
AT1G43700,0.45506439390120484,AT1G05805
AT1G68640,0.5383629408485291,AT1G05805
AT2G28450,0.006572665250266216,AT1G05805
AT1G04990,0.0782586001206284,AT1G06002
AT1G30330,0.07487524733794328,AT1G06002
AT2G36080,0.8468661525414283,AT1G06002
AT1G51140,0.3423010055776306,AT1G06040
AT4G36730,0.3010664619323087,AT1G06040
AT4G36780,0.02772730419480443,AT1G06040
AT5G37020,0.3289052282952563,AT1G06040
AT1G51140,0.44719895264892906,AT1G07010
AT4G36730,0.029137994253766623,AT1G07010
AT4G36780,0.12674673929261984,AT1G07010
AT5G37020,0.3969163138046845,AT1G07010
AT1G51140,0.07117891006381208,AT1G07128
AT4G36730,0.4192766102050103,AT1G07128
AT4G36780,0.4152036512300211,AT1G07128
AT5G37020,0.09434082850115655,AT1G07128
