,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT4G36730-AT3G07195,0.0,0.5850250317321568,0.5219088939942186,0.0,0.5301131381431827,0.5224271573091693,0.441137524535981,0.4736842105263157,0.4930732766845425
AT4G36780-AT2G34720,0.0,0.4177160063968007,0.0,0.0,0.4361559551232752,0.0,0.0,0.3684210526315789,0.0
AT1G30330-AT4G10265,0.0,0.3309128417479434,0.0,0.0,0.3482870445789268,0.0,0.399906194305784,0.4210526315789474,0.3823962997722321
AT5G37020-AT4G09750,0.0,0.3527713046890918,0.0,0.0,0.3731646906202788,0.0,0.389167786419468,0.0,0.0
AT4G17230-AT4G21840,0.446818840225785,0.0,0.0,0.415319358327457,0.0,0.0,0.428904036898241,0.0,0.0
AT5G37020-AT1G49010,0.0,0.6203375261097325,0.5194684794634665,0.0,0.6296795250048579,0.5317298275454186,0.820454784344682,0.4009730928016737,0.5293315408557914
AT1G04990-AT1G80760,0.0,0.7164718408487583,0.5776588548127441,0.0,0.7090129121785297,0.5448934911283397,0.0,0.631578947368421,0.0
AT4G36780-AT4G15630,0.35616407999442,0.0,0.0,0.412974008968081,0.0,0.0,0.0,0.0,0.0
AT5G63470-AT3G25790,0.0,0.0,0.0,0.0,0.0,0.0,0.577778870291527,0.0,0.0
AT2G36080-AT1G45249,0.0,0.9108665608082358,0.5764482616246965,0.0,0.9142534920196832,0.5723677480598539,0.0,0.8947368421052633,0.5551859871645904
AT4G36730-AT4G12000,0.0,0.4513130479655561,0.341448151056983,0.0,0.4839120836168666,0.3681324056701108,0.515536872053247,0.0,0.3603708914854284
AT1G04990-AT3G11402,0.0,0.7149338443556329,0.4214816534891998,0.0,0.738532029489165,0.4474138323576359,0.0,0.6523491366328394,0.4309558010952248
AT1G58100-AT5G39610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0
AT4G36780-AT4G21870,0.665027893184412,0.0,0.0,0.727268550950914,0.0,0.0,0.68905773165299,0.0,0.0
AT5G11260-AT5G62520,0.0,0.0,0.0,0.0,0.3358482215582509,0.0,0.0,0.3684210526315789,0.0
AT1G04990-AT4G37610,0.0,0.8160492831362129,0.6359009779472097,0.0,0.7649876157715716,0.6364810741870844,0.593420835096483,0.5263157894736842,0.4463622877752324
AT4G36730-AT3G48590,0.0,0.87384255748488,0.87384255748488,0.0,0.87384255748488,0.87384255748488,0.0,0.87384255748488,0.87384255748488
AT1G51140-AT5G64170,0.0,0.5977713173604889,0.5080269119953305,0.0,0.5851718004578761,0.5038608700470347,0.0,0.6737075690033962,0.5016144034229097
AT4G17230-AT4G25470,0.0,0.7680629801122497,0.7867581857127385,0.0,0.7170489329627371,0.8157968151700967,0.0,0.8390030368436778,0.8042380489793881
