,orf 10000,rf 10000,gbt 10000,orf 1000,rf 1000,gbt 1000,orf 100,rf 100,gbt 100
AT4G36730-AT3G21560,0.331139950554782,0.1702534612725852,0.144338376882348,0.417274642266269,0.1696940822877798,0.144338376882348,0.281246460093681,0.2066622112082733,0.1443383769147398
AT4G36780-AT1G62975,0.315399469747614,0.1902568001013675,0.0760240637754654,0.371419205249315,0.1721343834727917,0.0760240637754654,0.214033578003471,0.1393173843427434,0.0760240637681286
AT3G57920-AT3G23630,1.0,0.363247743454338,0.1531628830479855,1.0,0.3506316532326306,0.1531628830479855,0.713693324913729,0.3450677185992969,0.1531628830536049
AT1G04990-AT1G44020,0.459734238258587,0.215772047874649,0.0099427155752536,0.421874842383405,0.195956556904762,0.0099427155752536,0.221018865916966,0.195068151603062,0.0099427155715822
AT1G51140-AT1G78820,0.208780751706176,0.2641988478594167,0.1153962108851318,0.256018123659851,0.2635555835892896,0.1153962108851318,0.260374033574116,0.2776170239982847,0.1153962108782268
AT3G57920-AT5G01040,0.331448222253594,0.2333124310884514,0.0412746786754229,0.325886957024079,0.2389465646247155,0.0412746786754229,0.386488776627734,0.2325819566462987,0.0412746786796376
AT4G36730-AT2G34720,0.22888086966976,0.1189144807587483,0.0362899825655204,0.296585503425554,0.1166497888850393,0.0362899825655204,0.222310808328632,0.1163064212181884,0.0362899825655666
AT4G36730-AT1G58460,0.427042830505198,0.1143450213331506,0.0253949038948398,0.370829497709777,0.1134078964170628,0.0253949038948398,0.364301417069872,0.1004634468138729,0.0253949038691017
AT4G17230-AT5G41740,0.467491152919874,0.1865307156556309,0.0841528411405159,0.50628304655466,0.1857994798372068,0.0841528411405159,0.274807740631033,0.1867967850382586,0.0841528411141096
AT1G68640-AT2G23030,0.158649218048092,0.3251455314076436,0.404984041868156,0.254092498819378,0.346403945102527,0.404984041868156,0.126457065712009,0.3617757224092212,0.4049840418725543
AT1G51140-AT5G06530,0.286144169639763,0.1167294820067724,0.0166539941282038,0.330651758695397,0.1109198979014701,0.0166539941282038,0.137376874122246,0.1035175710138405,0.0166539941178886
AT1G51140-AT1G05420,0.41904382035673,0.2799801300997571,0.0086653715804143,0.39429456659244,0.2845220214056546,0.0086653715804143,0.443633421116723,0.2821712493865042,0.0086653715796526
AT1G51140-AT1G18330,0.340005817455194,0.1888577560197303,0.0685782171922703,0.386657847085559,0.1954129647081435,0.0685782171922703,0.495043944630286,0.2245687430165674,0.0685782171582845
AT5G37020-AT4G13010,0.361182304851349,0.1749091408996778,0.0255273360698972,0.402384209006999,0.183433887070386,0.0255273360698972,0.104991684684058,0.1423325624513536,0.0255273360393263
AT4G17230-AT5G52510,0.770505126414888,0.1755268575944488,0.0355730695717652,0.762601948303632,0.1705318622559789,0.0355730695717652,0.70042415873506,0.1632675782134483,0.0355730695640576
AT1G04990-AT5G15310,0.0703399981309049,0.3731490010442659,0.1268677421856176,0.0848546324816507,0.3840511730597802,0.1268677421856176,0.155855654695651,0.358901679978002,0.1268677421910478
AT4G36730-AT3G23210,0.69880561273654,0.2233670236480392,0.0150081553683816,0.730477557334022,0.2311513460987641,0.0150081553683816,0.337993828512294,0.2550151687771261,0.0150081553689095
AT4G36780-AT1G63650,0.268736057708758,0.15256784857485,0.0184058959913115,0.28371757562302,0.1457071225146279,0.0184058959913115,0.226099056105966,0.1229888508318062,0.0184058959894284
AT2G36080-AT5G17810,0.183865810385028,0.1822677356519729,0.0433317268228452,0.138985256904829,0.1777690486122667,0.0433317268228452,0.303686439755743,0.2060778549524129,0.0433317268330005
AT4G36780-AT4G18210,0.497291813537419,0.1394321200229425,0.052023495481029,0.52501184845516,0.1315760125621842,0.052023495481029,0.551662882191921,0.0979890450864433,0.0520234954807495
AT4G36780-AT3G21870,0.477317679048903,0.0716289308696327,0.0080624566078724,0.344266287835104,0.0694462394069115,0.0080624566078724,0.329633721374159,0.0530636790117316,0.0080624566045573
AT3G57920-AT3G57920,0.23687589530772,0.5507638330983484,0.5826753699309917,0.215969050155387,0.54767565058427,0.5826753699309917,0.0964931165009305,0.5388376685478414,0.5826753699296797
AT3G57920-AT1G07135,0.986113406620989,0.3032877984558683,0.1204344540566271,0.977522365817348,0.2896876799104406,0.1204344540566271,0.880002348240388,0.2940218667094479,0.1204344540649781
AT1G58100-AT2G26580,1.0,0.1046927247294931,0.0180813556868361,0.652561282411422,0.1051801607709765,0.0180813556868361,0.598586822502403,0.0677109434621366,0.0180813556931726
AT1G30330-AT2G46790,0.152155060647883,0.2270030074293202,0.0757292236976244,0.160000490533196,0.2379228711436666,0.0757292236976244,0.266559840574603,0.241607005468548,0.0757292236797824
AT1G43700-AT1G79700,0.111961582915984,0.1130053870855323,0.1050021190262631,0.265426073353849,0.1069605403814326,0.1050021190262631,0.22190295915099,0.1105310874827644,0.1050021190774882
AT3G57920-AT1G72940,0.454174742678079,0.1618317206040979,0.0047631986198723,0.572287053305481,0.1585912839729685,0.0047631986198723,0.274040115833449,0.1816544896027074,0.0047631986227038
AT4G17230-AT1G20520,0.373923268940872,0.1368522064404305,0.1978734615498138,0.394712214417934,0.1266616852260033,0.1978734615498138,0.282498366969241,0.1325351049329247,0.197873461586992
AT1G04990-AT1G22810,0.960184942034252,0.3580293609720411,0.1115972690501898,0.937540129372678,0.3429606085001425,0.1115972690501898,0.69350194473277,0.3998626795816498,0.1115972690522143
AT1G30330-AT3G24520,0.175659455335502,0.1597185334233259,0.0303941158843367,0.106040786365586,0.1753268251085954,0.0303941158843367,0.250964843663732,0.2103009711054875,0.0303941158746486
