Feature,Importance,Target Gene
AT1G51140,0.5404281360182169,AT1G01060
AT4G36730,0.1231359819451198,AT1G01060
AT4G36780,0.12766267135367723,AT1G01060
AT5G37020,0.36566524097335296,AT1G01060
AT1G51140,0.11533534095273376,AT1G01520
AT4G36730,0.4290497602930035,AT1G01520
AT4G36780,0.2762362696036881,AT1G01520
AT5G37020,0.33627065944094175,AT1G01520
AT1G51140,0.4065813275352767,AT1G02030
AT4G36730,0.5776379732115744,AT1G02030
AT4G36780,0.039457361426410195,AT1G02030
AT5G37020,0.1332153681171057,AT1G02030
AT1G51140,0.5192104240692376,AT1G02340
AT4G36730,0.14487642341701815,AT1G02340
AT4G36780,0.20195222571688054,AT1G02340
AT5G37020,0.29085295708723097,AT1G02340
AT1G51140,0.09066456562680694,AT1G03170
AT4G36730,0.46440738712258556,AT1G03170
AT4G36780,0.57766394241268,AT1G03170
AT5G37020,0.024156135128294468,AT1G03170
AT1G51140,0.15987855562084252,AT1G05420
AT4G36730,0.4961788743942674,AT1G05420
AT4G36780,0.2017513185967561,AT1G05420
AT5G37020,0.29908328167850096,AT1G05420
AT1G51140,0.6551312782659944,AT1G05710
AT4G36730,0.09300850749657083,AT1G05710
AT4G36780,0.16200404757850376,AT1G05710
AT5G37020,0.24674819694929812,AT1G05710
AT1G51140,0.28786872039831873,AT1G06040
AT4G36730,0.012895311640680506,AT1G06040
AT4G36780,0.24674967021571886,AT1G06040
AT5G37020,0.609378328035649,AT1G06040
AT1G51140,0.3797110481218779,AT1G07010
AT4G36730,0.27452430244744225,AT1G07010
AT4G36780,0.48010505926657704,AT1G07010
AT5G37020,0.02255162045446993,AT1G07010
AT1G51140,0.6265940832219515,AT1G07128
AT4G36730,0.23923130745386173,AT1G07128
AT4G36780,0.18626362984512007,AT1G07128
AT5G37020,0.1048030097694336,AT1G07128
AT1G51140,0.6696338578930231,AT1G07160
AT4G36730,0.04671647753093674,AT1G07160
AT4G36780,0.11126183873625008,AT1G07160
AT5G37020,0.3292798561301572,AT1G07160
AT1G51140,0.5961941043265075,AT1G10120
AT4G36730,0.12587497220278204,AT1G10120
AT4G36780,0.07782460660596961,AT1G10120
AT5G37020,0.35699834715510786,AT1G10120
AT1G51140,0.21718903402198647,AT1G10370
AT4G36730,0.32280707085139143,AT1G10370
AT4G36780,0.44588272310304755,AT1G10370
AT5G37020,0.17101320231394163,AT1G10370
AT1G51140,0.762584471909978,AT1G10480
AT4G36730,0.10611438371661047,AT1G10480
AT4G36780,0.2145575477449535,AT1G10480
AT5G37020,0.073635626918825,AT1G10480
AT1G51140,0.1872012969881531,AT1G12370
AT4G36730,0.45775201719090475,AT1G12370
AT4G36780,0.340720633488348,AT1G12370
AT5G37020,0.17121808262296123,AT1G12370
AT1G51140,0.43347148842028077,AT1G13670
AT4G36730,0.4120892031308219,AT1G13670
AT4G36780,0.13568075763394086,AT1G13670
AT5G37020,0.1756505811053234,AT1G13670
AT1G51140,0.40876043574838233,AT1G13740
AT4G36730,0.17867966225392468,AT1G13740
AT4G36780,0.5208632064618578,AT1G13740
AT5G37020,0.04858872582620226,AT1G13740
AT1G51140,0.2546775994367442,AT1G14345
AT4G36730,0.2548031820290961,AT1G14345
AT4G36780,0.42138761673820724,AT1G14345
AT5G37020,0.22602363208631965,AT1G14345
AT1G51140,0.11074604844898411,AT1G14430
AT4G36730,0.49664057575862525,AT1G14430
AT4G36780,0.5401044589708305,AT1G14430
AT5G37020,0.009400947111927066,AT1G14430
AT1G51140,0.21278400307884676,AT1G16720
AT4G36730,0.35637113031764117,AT1G16720
AT4G36780,0.37562250912369366,AT1G16720
AT5G37020,0.2121143877701855,AT1G16720
AT1G51140,0.3265818081236469,AT1G17100
AT4G36730,0.12243743995198401,AT1G17100
AT4G36780,0.0929488503617651,AT1G17100
AT5G37020,0.6149239318529712,AT1G17100
AT1G51140,0.5390813258290357,AT1G17920
AT4G36730,0.15525484176450127,AT1G17920
AT4G36780,0.15851859948903865,AT1G17920
AT5G37020,0.3040372632077915,AT1G17920
AT1G51140,0.1447706140756773,AT1G18330
AT4G36730,0.14865843889502822,AT1G18330
AT4G36780,0.25935139963032244,AT1G18330
AT5G37020,0.6041115776893392,AT1G18330
AT1G51140,0.2796396051709127,AT1G18810
AT4G36730,0.5630396792213528,AT1G18810
AT4G36780,0.05113589265782525,AT1G18810
AT5G37020,0.26307685324027635,AT1G18810
AT1G51140,0.2647980780605782,AT1G19490
AT4G36730,0.565886421537641,AT1G19490
AT4G36780,0.17605315431036342,AT1G19490
AT5G37020,0.15015437638178444,AT1G19490
AT1G51140,0.20869315693082965,AT1G22680
AT4G36730,0.6533804235262511,AT1G22680
AT4G36780,0.26974266036748173,AT1G22680
AT5G37020,0.025075789465804625,AT1G22680
AT1G51140,0.17647050447015236,AT1G23010
AT4G36730,0.337578652167928,AT1G23010
AT4G36780,0.3670339708993127,AT1G23010
AT5G37020,0.275808902752974,AT1G23010
AT1G51140,0.15832751193367953,AT1G26790
AT4G36730,0.2008679498005483,AT1G26790
AT4G36780,0.22956320616798487,AT1G26790
AT5G37020,0.5681333623881543,AT1G26790
AT1G51140,0.49490317949981333,AT1G27740
AT4G36730,0.3821649509160007,AT1G27740
AT4G36780,0.16463039564140827,AT1G27740
AT5G37020,0.11519350423314455,AT1G27740
AT1G51140,0.3915376196001868,AT1G28600
AT4G36730,0.27438210623251347,AT1G28600
AT4G36780,0.2897942059813691,AT1G28600
AT5G37020,0.201178098476298,AT1G28600
AT1G51140,0.7062034753360176,AT1G34520
AT4G36730,0.306729617165967,AT1G34520
AT4G36780,0.08920627769770755,AT1G34520
AT5G37020,0.054752660090674844,AT1G34520
AT1G51140,0.6086757795037,AT1G42550
AT4G36730,0.18188980445131664,AT1G42550
AT4G36780,0.26019970900718425,AT1G42550
AT5G37020,0.10612673732816609,AT1G42550
AT1G51140,0.6580745616159519,AT1G48100
AT4G36730,0.35457986087430515,AT1G48100
AT4G36780,0.08785307650958658,AT1G48100
AT5G37020,0.05638453129052355,AT1G48100
AT1G51140,0.2653830813085209,AT1G49010
AT4G36730,0.15846463752245094,AT1G49010
AT4G36780,0.21357583199592867,AT1G49010
AT5G37020,0.5194684794634665,AT1G49010
AT1G51140,0.2528809087536476,AT1G50020
AT4G36730,0.5036677131478592,AT1G50020
AT4G36780,0.15024815235277372,AT1G50020
AT5G37020,0.25009525603608657,AT1G50020
AT1G51140,0.36718226655594155,AT1G50250
AT4G36730,0.2437874379987217,AT1G50250
AT4G36780,0.4475136876440172,AT1G50250
AT5G37020,0.0984086380916865,AT1G50250
AT1G51140,0.24823806355361638,AT1G51140
AT4G36730,0.63846586914808,AT1G51140
AT4G36780,0.21590710147332884,AT1G51140
AT5G37020,0.158117209315013,AT1G51140
AT1G51140,0.12491210854333817,AT1G52200
AT4G36730,0.44597182791214074,AT1G52200
AT4G36780,0.4680053387983771,AT1G52200
AT5G37020,0.11800275503651121,AT1G52200
AT1G51140,0.3024726509566328,AT1G58460
AT4G36730,0.015202439832185603,AT1G58460
AT4G36780,0.6082754133391236,AT1G58460
AT5G37020,0.23094152616242497,AT1G58460
AT1G51140,0.3187571879775228,AT1G60270
AT4G36730,0.679359407271755,AT1G60270
AT4G36780,0.06474685804620832,AT1G60270
AT5G37020,0.09402857699488092,AT1G60270
AT1G51140,0.4590423200646084,AT1G62030
AT4G36730,0.09243174689536937,AT1G62030
AT4G36780,0.4819877586335265,AT1G62030
AT5G37020,0.12343020469686268,AT1G62030
AT1G51140,0.2832166198390309,AT1G62975
AT4G36730,0.2756866722813254,AT1G62975
AT4G36780,0.19498027728792394,AT1G62975
AT5G37020,0.4030084608820866,AT1G62975
AT1G51140,0.604523473093372,AT1G63650
AT4G36730,0.09818674452677909,AT1G63650
AT4G36780,0.05498898522047588,AT1G63650
AT5G37020,0.39919282744974,AT1G63650
AT1G51140,0.24055635599180825,AT1G64000
AT4G36730,0.7935819050470445,AT1G64000
AT4G36780,0.08074783256091676,AT1G64000
AT5G37020,0.04200593669059735,AT1G64000
AT1G51140,0.5372899054799659,AT1G64500
