Feature,Importance,Target Gene
AT1G51140,0.5384569504995395,AT1G01060
AT4G36730,0.10574764877337373,AT1G01060
AT4G36780,0.35245367880091694,AT1G01060
AT5G37020,0.0033417219261697335,AT1G01060
AT1G01260,0.012655370053036066,AT1G01260
AT1G58100,0.21634259894979652,AT1G01260
AT3G48590,0.07430492012286691,AT1G01260
AT5G06110,0.6101888749314935,AT1G01260
AT5G63470,0.08650823594280689,AT1G01260
AT1G51140,0.3062069680492185,AT1G01520
AT4G36730,0.6496946462082084,AT1G01520
AT4G36780,0.027973111045546693,AT1G01520
AT5G37020,0.0161252746970266,AT1G01520
AT1G43700,0.9559287040131546,AT1G01580
AT1G68640,0.03848382019416121,AT1G01580
AT2G28450,0.005587475792684224,AT1G01580
AT1G51140,0.19902832414737215,AT1G02030
AT4G36730,0.7455558049457343,AT1G02030
AT4G36780,0.04400090534362461,AT1G02030
AT5G37020,0.011414965563269019,AT1G02030
AT1G51140,0.6569673120082229,AT1G02340
AT4G36730,0.05263455088625641,AT1G02340
AT4G36780,0.1419487510295526,AT1G02340
AT5G37020,0.14844938607596797,AT1G02340
AT3G57920,0.20227967318068812,AT1G02810
AT4G17230,0.7412458640360897,AT1G02810
AT5G11260,0.05647446278322223,AT1G02810
AT1G51140,0.00013972825703757435,AT1G03170
AT4G36730,0.2792756202888043,AT1G03170
AT4G36780,0.7117012755893806,AT1G03170
AT5G37020,0.008883375864777688,AT1G03170
AT1G04990,0.6780048906169692,AT1G04990
AT1G30330,0.005194261197374014,AT1G04990
AT2G36080,0.3168008481856567,AT1G04990
AT1G51140,0.008665371579652609,AT1G05420
AT4G36730,0.6639332732513119,AT1G05420
AT4G36780,0.21460751904096487,AT1G05420
AT5G37020,0.1127938361280706,AT1G05420
AT1G51140,0.725563067247822,AT1G05710
AT4G36730,0.07637367903126742,AT1G05710
AT4G36780,0.1004110786832532,AT1G05710
AT5G37020,0.09765217503765737,AT1G05710
AT1G43700,0.9356562659771823,AT1G05805
AT1G68640,0.045853251159171424,AT1G05805
AT2G28450,0.01849048286364629,AT1G05805
AT1G04990,0.009733232067879566,AT1G06002
AT1G30330,0.04543273049333104,AT1G06002
AT2G36080,0.9448340374387894,AT1G06002
AT1G51140,0.2035767982619562,AT1G06040
AT4G36730,0.009461291303042805,AT1G06040
AT4G36780,0.03865856787026969,AT1G06040
AT5G37020,0.7483033425647313,AT1G06040
AT1G51140,0.4142914030792102,AT1G07010
AT4G36730,0.1809643823538515,AT1G07010
AT4G36780,0.40327215105655184,AT1G07010
AT5G37020,0.0014720635103865,AT1G07010
AT1G51140,0.8694556290421814,AT1G07128
AT4G36730,0.005984174518999554,AT1G07128
AT4G36780,0.005009748321085985,AT1G07128
AT5G37020,0.11955044811773305,AT1G07128
AT3G57920,0.12043445406497819,AT1G07135
AT4G17230,0.5040310092566923,AT1G07135
AT5G11260,0.3755345366783294,AT1G07135
AT1G04990,0.9112907854688373,AT1G07150
AT1G30330,0.03119708017042018,AT1G07150
AT2G36080,0.05751213436074239,AT1G07150
