Feature,Importance,Target Gene
AT1G51140,0.42225315732746393,AT1G01060
AT4G36730,0.23151961718774872,AT1G01060
AT4G36780,0.19736675216404578,AT1G01060
AT5G37020,0.1488604733207416,AT1G01060
AT1G01260,0.2187261638569872,AT1G01260
AT1G58100,0.14993414143942235,AT1G01260
AT3G48590,0.07981254174091056,AT1G01260
AT5G06110,0.44811527420230307,AT1G01260
AT5G63470,0.10341187876037672,AT1G01260
AT1G51140,0.04240348211659753,AT1G01520
AT4G36730,0.3234421916714409,AT1G01520
AT4G36780,0.5175491487872745,AT1G01520
AT5G37020,0.11660517742468705,AT1G01520
AT1G43700,0.37779376059416103,AT1G01580
AT1G68640,0.6164857933163694,AT1G01580
AT2G28450,0.005720446089469376,AT1G01580
AT1G51140,0.05699088000699028,AT1G02030
AT4G36730,0.413617562129265,AT1G02030
AT4G36780,0.43526671456631433,AT1G02030
AT5G37020,0.09412484329743048,AT1G02030
AT1G51140,0.09653964589628174,AT1G02340
AT4G36730,0.30341992913700544,AT1G02340
AT4G36780,0.507287189724255,AT1G02340
AT5G37020,0.09275323524245789,AT1G02340
AT3G57920,0.08411499472011642,AT1G02810
AT4G17230,0.466195954065667,AT1G02810
AT5G11260,0.44968905121421654,AT1G02810
AT1G51140,0.00018323104985074382,AT1G03170
AT4G36730,0.48855521344041286,AT1G03170
AT4G36780,0.3435821152875468,AT1G03170
AT5G37020,0.1676794402221896,AT1G03170
AT1G04990,0.015449417117491496,AT1G04990
AT1G30330,0.018032794295974406,AT1G04990
AT2G36080,0.966517788586534,AT1G04990
AT1G51140,0.016217975795528496,AT1G05420
AT4G36730,0.4986999227279376,AT1G05420
AT4G36780,0.4645463822746449,AT1G05420
AT5G37020,0.020535719201889114,AT1G05420
AT1G51140,0.09312963498400709,AT1G05710
AT4G36730,0.35337736766443056,AT1G05710
AT4G36780,0.4179356751158683,AT1G05710
AT5G37020,0.13555732223569386,AT1G05710
AT1G43700,0.4550643939049725,AT1G05805
AT1G68640,0.5383629408465682,AT1G05805
AT2G28450,0.0065726652484592715,AT1G05805
AT1G04990,0.07825860015403156,AT1G06002
AT1G30330,0.07487524734514169,AT1G06002
AT2G36080,0.8468661525008268,AT1G06002
AT1G51140,0.3423010054145375,AT1G06040
AT4G36730,0.3010664617765138,AT1G06040
AT4G36780,0.02772730432987726,AT1G06040
AT5G37020,0.32890522847907155,AT1G06040
AT1G51140,0.44719895247302155,AT1G07010
AT4G36730,0.02913799429628795,AT1G07010
AT4G36780,0.1267467392932847,AT1G07010
AT5G37020,0.39691631393740573,AT1G07010
AT1G51140,0.07117891005030064,AT1G07128
AT4G36730,0.4192766102392059,AT1G07128
AT4G36780,0.41520365123299213,AT1G07128
AT5G37020,0.09434082847750117,AT1G07128
AT3G57920,0.5025266044731437,AT1G07135
AT4G17230,0.0794567530398274,AT1G07135
AT5G11260,0.418016642487029,AT1G07135
AT1G04990,0.9682164583686191,AT1G07150
AT1G30330,0.012153845383146318,AT1G07150
AT2G36080,0.01962969624823447,AT1G07150
AT1G51140,0.5855746175573406,AT1G07160
AT4G36730,0.28569440925715434,AT1G07160
AT4G36780,0.09762656133794441,AT1G07160
AT5G37020,0.031104411847560597,AT1G07160
AT1G04990,0.054111004657091344,AT1G07620
AT1G30330,0.9217331436217632,AT1G07620
AT2G36080,0.024155851721145295,AT1G07620
AT1G01260,0.3126566771206631,AT1G07640
AT1G58100,0.01986234411080672,AT1G07640
AT3G48590,0.008520423125456658,AT1G07640
AT5G06110,0.6457237011406057,AT1G07640
AT5G63470,0.013236854502467655,AT1G07640
AT1G04990,0.9413368803660246,AT1G07690
AT1G30330,0.02246809082759044,AT1G07690
AT2G36080,0.036195028806385074,AT1G07690
AT1G01260,0.07986147473294822,AT1G08000
AT1G58100,0.08910060465676405,AT1G08000
AT3G48590,0.04323580659619526,AT1G08000
AT5G06110,0.5353913369504478,AT1G08000
AT5G63470,0.2524107770636445,AT1G08000
AT1G43700,0.4480173802166304,AT1G08920
AT1G68640,0.5515708211767049,AT1G08920
AT2G28450,0.0004117986066647517,AT1G08920
AT3G57920,0.05375110887332791,AT1G09070
AT4G17230,0.9207720398247372,AT1G09070
AT5G11260,0.025476851301934906,AT1G09070
AT1G04990,0.0648592739968172,AT1G09540
AT1G30330,0.06185732719834451,AT1G09540
AT2G36080,0.8732833988048384,AT1G09540
AT3G57920,0.2527323676845661,AT1G09950
AT4G17230,0.009132627563242507,AT1G09950
AT5G11260,0.7381350047521915,AT1G09950
AT1G51140,0.5533947916680543,AT1G10120
AT4G36730,0.049248632087938476,AT1G10120
AT4G36780,0.05305094046308698,AT1G10120
AT5G37020,0.3443056357809202,AT1G10120
AT1G51140,0.1226654132738071,AT1G10370
AT4G36730,0.333971862098328,AT1G10370
AT4G36780,0.29177331849328125,AT1G10370
AT5G37020,0.2515894061345837,AT1G10370
AT1G51140,0.4896305030092429,AT1G10480
AT4G36730,0.286237567650269,AT1G10480
