Regulator	Interaction	Target	Weight
AT4G36780	regulates	AT1G01060	0.214686524886322
AT1G51140	regulates	AT1G01520	0.50998223601793
AT4G36780	regulates	AT1G02030	0.642634730587127
AT5G37020	regulates	AT1G03170	0.492478378051179
AT1G51140	regulates	AT1G05420	0.39429456659244
AT4G36730	regulates	AT1G05710	0.224417910098036
AT4G36730	regulates	AT1G06040	0.233300699621647
AT4G36780	regulates	AT1G06040	0.233187267642709
AT4G36730	regulates	AT1G07010	0.25238136212769
AT5G37020	regulates	AT1G07128	0.193055102214293
AT4G36730	regulates	AT1G07160	0.277894904028459
AT4G36780	regulates	AT1G10120	0.310514646105731
AT4G36780	regulates	AT1G10370	0.146844728028588
AT4G36730	regulates	AT1G10480	0.584482874356845
AT5G37020	regulates	AT1G10480	0.501065422182183
AT1G51140	regulates	AT1G12370	0.396236474333099
AT4G36780	regulates	AT1G13670	0.271160753364509
AT5G37020	regulates	AT1G13740	0.201458907134275
AT5G37020	regulates	AT1G14430	0.542603404316688
AT4G36730	regulates	AT1G17100	0.386577847836354
AT4G36780	regulates	AT1G17920	0.232300381974225
AT1G51140	regulates	AT1G18330	0.386657847085559
AT4G36780	regulates	AT1G18810	0.667844065591167
AT5G37020	regulates	AT1G19490	0.213780030105146
AT5G37020	regulates	AT1G22680	0.320637553827853
AT1G51140	regulates	AT1G23010	0.656349141528382
AT4G36780	regulates	AT1G23010	0.152057283742479
AT1G51140	regulates	AT1G26790	0.299617307245891
AT4G36780	regulates	AT1G34520	0.150169840785593
AT4G36730	regulates	AT1G42550	0.24609242359836
AT5G37020	regulates	AT1G48100	0.224194365740032
AT4G36730	regulates	AT1G50250	0.282300649955644
AT5G37020	regulates	AT1G51140	0.130711234649296
AT1G51140	regulates	AT1G52200	0.353704740745895
AT4G36730	regulates	AT1G58460	0.370829497709777
AT5G37020	regulates	AT1G60270	0.151199088282229
AT4G36730	regulates	AT1G62030	0.493933699646049
AT4G36780	regulates	AT1G62975	0.371419205249315
AT4G36780	regulates	AT1G63650	0.28371757562302
AT5G37020	regulates	AT1G64000	0.201896865163704
AT4G36730	regulates	AT1G64500	0.209354115975216
AT4G36730	regulates	AT1G66230	0.420826314274277
AT5G37020	regulates	AT1G66330	0.0768217690479212
AT4G36780	regulates	AT1G66920	0.382445379464998
AT5G37020	regulates	AT1G67070	0.222973653901503
AT4G36780	regulates	AT1G70000	0.374029011644645
AT4G36780	regulates	AT1G71692	0.563119315890515
AT5G37020	regulates	AT1G71692	0.348031456489624
AT5G37020	regulates	AT1G72360	0.274540623812245
AT5G37020	regulates	AT1G72500	0.444243927605009
AT5G37020	regulates	AT1G73480	0.203405277265967
AT5G37020	regulates	AT1G75100	0.336997335019945
AT1G51140	regulates	AT1G75710	0.375437125292672
AT4G36780	regulates	AT1G75710	0.162197166170383
AT5G37020	regulates	AT1G76890	0.286310092522998
AT4G36730	regulates	AT1G78450	0.305097663532169
AT4G36780	regulates	AT1G78450	0.353811091409773
AT1G51140	regulates	AT1G78510	0.0945805662317249
AT1G51140	regulates	AT1G78820	0.256018123659851
AT5G37020	regulates	AT1G78820	0.557229970430849
AT4G36780	regulates	AT1G80130	0.255593312981519
AT4G36780	regulates	AT1G80340	0.531378375765997
AT1G51140	regulates	AT2G02070	0.369886569846694
AT1G51140	regulates	AT2G16660	0.626624291042662
AT4G36780	regulates	AT2G21320	0.114397145277538
AT5G37020	regulates	AT2G21970	0.612003641154397
AT5G37020	regulates	AT2G24540	0.0378338449520481
AT4G36730	regulates	AT2G25530	0.157081976857659
AT1G51140	regulates	AT2G28550	0.282562226662622
AT5G37020	regulates	AT2G29450	0.14079914910898
AT1G51140	regulates	AT2G30520	0.411056588888713
AT1G51140	regulates	AT2G31380	0.389898153524126
AT4G36780	regulates	AT2G31560	0.187302550393558
AT4G36780	regulates	AT2G32930	0.260361955933141
AT4G36730	regulates	AT2G33380	0.347216017726493
AT1G51140	regulates	AT2G34710	0.332806624641929
AT4G36730	regulates	AT2G34720	0.296585503425554
AT1G51140	regulates	AT2G35075	0.480313221499058
AT4G36730	regulates	AT2G35660	0.262660175381421
AT4G36780	regulates	AT2G36630	0.496525780593056
AT4G36730	regulates	AT2G36790	0.274705472116623
AT4G36730	regulates	AT2G36800	0.239827681378329
AT1G51140	regulates	AT2G36870	0.33645272212456
AT1G51140	regulates	AT2G37970	0.349955022686676
AT4G36730	regulates	AT2G38210	0.281476472072746
AT4G36730	regulates	AT2G38230	0.430160409310296
AT5G37020	regulates	AT2G38240	0.220615410931382
AT4G36730	regulates	AT2G39200	0.583927525672009
AT1G51140	regulates	AT2G39560	0.19671633296568
AT1G51140	regulates	AT2G41100	0.370964331454345
AT4G36780	regulates	AT2G44370	0.733093228885532
AT5G37020	regulates	AT2G45160	0.113026052789656
AT5G37020	regulates	AT2G46340	0.153506331987447
