Feature,Importance,Target Gene
AT1G51140,0.5658708097298798,AT1G01060
AT4G36730,0.21052631578947364,AT1G01060
AT4G36780,0.17097129553327803,AT1G01060
AT5G37020,0.4210526315789474,AT1G01060
AT1G51140,0.05263157894736834,AT1G01520
AT4G36730,0.3684210526315789,AT1G01520
AT4G36780,0.631578947368421,AT1G01520
AT5G37020,0.31578947368421045,AT1G01520
AT1G51140,0.6842105263157897,AT1G02030
AT4G36730,0.5263157894736843,AT1G02030
AT4G36780,0.10526315789473682,AT1G02030
AT5G37020,0.05263157894736834,AT1G02030
AT1G51140,0.558713788782337,AT1G02340
AT4G36730,0.15789473684210514,AT1G02340
AT4G36780,0.31578947368421045,AT1G02340
AT5G37020,0.3360230533229261,AT1G02340
AT1G51140,0.1640504608041891,AT1G03170
AT4G36730,0.5263157894736842,AT1G03170
AT4G36780,0.5201600655116002,AT1G03170
AT5G37020,0.15789473684210514,AT1G03170
AT1G51140,0.21052631578947364,AT1G05420
AT4G36730,0.33980753475547487,AT1G05420
AT4G36780,0.4039454783780416,AT1G05420
AT5G37020,0.41414172370858876,AT1G05420
AT1G51140,0.77684137809495,AT1G05710
AT4G36730,0.10526315789473682,AT1G05710
AT4G36780,0.2631578947368421,AT1G05710
AT5G37020,0.22315862190505004,AT1G05710
AT1G51140,0.5179458397893916,AT1G06040
AT4G36730,0.2631578947368421,AT1G06040
AT4G36780,0.31578947368421045,AT1G06040
AT5G37020,0.2715278444211346,AT1G06040
AT1G51140,0.5567653086680774,AT1G07010
AT4G36730,0.10526315789473682,AT1G07010
AT4G36780,0.39060311238455425,AT1G07010
AT5G37020,0.31578947368421045,AT1G07010
AT1G51140,0.7154274242935298,AT1G07128
AT4G36730,0.2631578947368421,AT1G07128
AT4G36780,0.07404625991699657,AT1G07128
AT5G37020,0.31578947368421045,AT1G07128
AT1G51140,0.7739536873644906,AT1G07160
AT4G36730,0.05263157894736834,AT1G07160
AT4G36780,0.21052631578947364,AT1G07160
AT5G37020,0.3313094705302464,AT1G07160
AT1G51140,0.7975312242137472,AT1G10120
AT4G36730,0.1578947368421053,AT1G10120
AT4G36780,0.11326622597502352,AT1G10120
AT5G37020,0.29972886560070305,AT1G10120
AT1G51140,0.4736842105263157,AT1G10370
AT4G36730,0.4210526315789474,AT1G10370
AT4G36780,0.2631578947368421,AT1G10370
AT5G37020,0.21052631578947364,AT1G10370
AT1G51140,0.7827004516880097,AT1G10480
AT4G36730,0.15789473684210514,AT1G10480
AT4G36780,0.31578947368421045,AT1G10480
AT5G37020,0.11203639041725343,AT1G10480
AT1G51140,0.3684210526315789,AT1G12370
AT4G36730,0.31578947368421045,AT1G12370
AT4G36780,0.5263157894736842,AT1G12370
AT5G37020,0.15789473684210514,AT1G12370
AT1G51140,0.6842105263157895,AT1G13670
AT4G36730,0.4736842105263157,AT1G13670
AT4G36780,0.15789473684210514,AT1G13670
AT5G37020,0.05263157894736834,AT1G13670
AT1G51140,0.6068582683035889,AT1G13740
AT4G36730,0.31578947368421045,AT1G13740
AT4G36780,0.18261541590693728,AT1G13740
AT5G37020,0.2631578947368421,AT1G13740
AT1G51140,0.4736842105263157,AT1G14345
AT4G36730,0.2631578947368421,AT1G14345
AT4G36780,0.5263157894736842,AT1G14345
AT5G37020,0.10526315789473682,AT1G14345
AT1G51140,0.16383150138845484,AT1G14430
AT4G36730,0.3684210526315789,AT1G14430
AT4G36780,0.6782737617694398,AT1G14430
AT5G37020,0.15789473684210514,AT1G14430
AT1G51140,0.3684210526315789,AT1G16720
AT4G36730,0.2631578947368421,AT1G16720
AT4G36780,0.5263157894736842,AT1G16720
AT5G37020,0.21052631578947364,AT1G16720
AT1G51140,0.3873814663565793,AT1G17100
AT4G36730,0.2631578947368421,AT1G17100
AT4G36780,0.2631578947368421,AT1G17100
AT5G37020,0.45472379680131547,AT1G17100
AT1G51140,0.6958967747097247,AT1G17920
AT4G36730,0.15789473684210514,AT1G17920
AT4G36780,0.16596114313622892,AT1G17920
AT5G37020,0.3486683979435201,AT1G17920
AT1G51140,0.15789473684210514,AT1G18330
AT4G36730,0.31578947368421045,AT1G18330
AT4G36780,0.4941141262312615,AT1G18330
AT5G37020,0.40062271587400167,AT1G18330
AT1G51140,0.4736842105263157,AT1G18810
AT4G36730,0.5789473684210527,AT1G18810
AT4G36780,0.21052631578947364,AT1G18810
AT5G37020,0.10526315789473682,AT1G18810
AT1G51140,0.31578947368421045,AT1G19490
AT4G36730,0.4935016281342308,AT1G19490
AT4G36780,0.4363778048649249,AT1G19490
AT5G37020,0.12275214594821264,AT1G19490
AT1G51140,0.5263157894736842,AT1G22680
AT4G36730,0.5449626363414339,AT1G22680
AT4G36780,0.29714262681646075,AT1G22680
AT5G37020,0.0,AT1G22680
AT1G51140,0.15789473684210514,AT1G23010
AT4G36730,0.17644149626233824,AT1G23010
AT4G36780,0.5604006090008196,AT1G23010
AT5G37020,0.4736842105263157,AT1G23010
AT1G51140,0.4736842105263157,AT1G26790
AT4G36730,0.10526315789473682,AT1G26790
AT4G36780,0.3684210526315789,AT1G26790
AT5G37020,0.4210526315789474,AT1G26790
AT1G51140,0.7368421052631581,AT1G27740
AT4G36730,0.3531653889965002,AT1G27740
AT4G36780,0.10526315789473682,AT1G27740
AT5G37020,0.17315040047718402,AT1G27740
AT1G51140,0.558486608256211,AT1G28600
AT4G36730,0.40154343284295196,AT1G28600
AT4G36780,0.2631578947368421,AT1G28600
AT5G37020,0.1452331167955738,AT1G28600
AT1G51140,0.8311942156333688,AT1G34520
AT4G36730,0.31578947368421045,AT1G34520
AT4G36780,0.16880578436663105,AT1G34520
AT5G37020,0.05263157894736834,AT1G34520
AT1G51140,0.6695995156640048,AT1G42550
AT4G36730,0.15789473684210514,AT1G42550
AT4G36780,0.22513732644125842,AT1G42550
AT5G37020,0.31578947368421045,AT1G42550
AT1G51140,0.7274996439996746,AT1G48100
AT4G36730,0.4210526315789474,AT1G48100
AT4G36780,0.10526315789473682,AT1G48100
AT5G37020,0.11460561915822036,AT1G48100
AT1G51140,0.38850059140885257,AT1G49010
AT4G36730,0.21052631578947364,AT1G49010
AT4G36780,0.3684210526315789,AT1G49010
AT5G37020,0.40097309280167376,AT1G49010
AT1G51140,0.4210526315789474,AT1G50020
AT4G36730,0.3684210526315789,AT1G50020
AT4G36780,0.4210526315789474,AT1G50020
AT5G37020,0.15789473684210514,AT1G50020
AT1G51140,0.5617389066098404,AT1G50250
AT4G36730,0.10526315789473682,AT1G50250
AT4G36780,0.38562951444279125,AT1G50250
AT5G37020,0.31578947368421045,AT1G50250
AT1G51140,0.3684210526315789,AT1G51140
AT4G36730,0.4736842105263157,AT1G51140
AT4G36780,0.3684210526315789,AT1G51140
AT5G37020,0.158117209315013,AT1G51140
AT1G51140,0.22010112616038616,AT1G52200
AT4G36730,0.5263157894736842,AT1G52200
AT4G36780,0.5167409791027716,AT1G52200
AT5G37020,0.10526315789473682,AT1G52200
AT1G51140,0.5263157894736842,AT1G58460
AT4G36730,0.0,AT1G58460
AT4G36780,0.5263157894736842,AT1G58460
AT5G37020,0.31578947368421045,AT1G58460
AT1G51140,0.5263157894736842,AT1G60270
AT4G36730,0.5263157894736842,AT1G60270
AT4G36780,0.31578947368421045,AT1G60270
AT5G37020,0.0,AT1G60270
AT1G51140,0.460427780381417,AT1G62030
AT4G36730,0.10526315789473682,AT1G62030
AT4G36780,0.5395722196185829,AT1G62030
AT5G37020,0.2631578947368421,AT1G62030
AT1G51140,0.5263157894736842,AT1G62975
AT4G36730,0.4736842105263157,AT1G62975
AT4G36780,0.10526315789473682,AT1G62975
AT5G37020,0.2631578947368421,AT1G62975
AT1G51140,0.7368421052631579,AT1G63650
AT4G36730,0.15789473684210514,AT1G63650
AT4G36780,0.10526315789473682,AT1G63650
AT5G37020,0.3684210526315789,AT1G63650
AT1G51140,0.5263157894736842,AT1G64000
AT4G36730,0.5789473684210527,AT1G64000
AT4G36780,0.2631578947368421,AT1G64000
AT5G37020,0.0,AT1G64000
AT1G51140,0.6188574775999417,AT1G64500
AT4G36730,0.10526315789473682,AT1G64500
