Regulator	Interaction	Target	Weight
AT1G51140	regulates	AT1G01520	0.50998223601793
AT4G36780	regulates	AT1G02030	0.642634730587127
AT5G37020	regulates	AT1G03170	0.492478378051179
AT1G51140	regulates	AT1G05420	0.39429456659244
AT4G36730	regulates	AT1G10480	0.584482874356845
AT5G37020	regulates	AT1G10480	0.501065422182183
AT1G51140	regulates	AT1G12370	0.396236474333099
AT5G37020	regulates	AT1G14430	0.542603404316688
AT4G36730	regulates	AT1G17100	0.386577847836354
AT1G51140	regulates	AT1G18330	0.386657847085559
AT4G36780	regulates	AT1G18810	0.667844065591167
AT1G51140	regulates	AT1G23010	0.656349141528382
AT1G51140	regulates	AT1G52200	0.353704740745895
AT4G36730	regulates	AT1G58460	0.370829497709777
AT4G36730	regulates	AT1G62030	0.493933699646049
AT4G36780	regulates	AT1G62975	0.371419205249315
AT4G36730	regulates	AT1G66230	0.420826314274277
AT4G36780	regulates	AT1G66920	0.382445379464998
AT4G36780	regulates	AT1G70000	0.374029011644645
AT4G36780	regulates	AT1G71692	0.563119315890515
AT5G37020	regulates	AT1G71692	0.348031456489624
AT5G37020	regulates	AT1G72500	0.444243927605009
AT5G37020	regulates	AT1G75100	0.336997335019945
AT1G51140	regulates	AT1G75710	0.375437125292672
AT4G36780	regulates	AT1G78450	0.353811091409773
AT5G37020	regulates	AT1G78820	0.557229970430849
AT4G36780	regulates	AT1G80340	0.531378375765997
AT1G51140	regulates	AT2G02070	0.369886569846694
AT1G51140	regulates	AT2G16660	0.626624291042662
AT5G37020	regulates	AT2G21970	0.612003641154397
AT1G51140	regulates	AT2G30520	0.411056588888713
AT1G51140	regulates	AT2G31380	0.389898153524126
AT4G36730	regulates	AT2G33380	0.347216017726493
AT1G51140	regulates	AT2G34710	0.332806624641929
AT1G51140	regulates	AT2G35075	0.480313221499058
AT4G36780	regulates	AT2G36630	0.496525780593056
AT1G51140	regulates	AT2G36870	0.33645272212456
AT1G51140	regulates	AT2G37970	0.349955022686676
AT4G36730	regulates	AT2G38230	0.430160409310296
AT4G36730	regulates	AT2G39200	0.583927525672009
AT1G51140	regulates	AT2G41100	0.370964331454345
AT4G36780	regulates	AT2G44370	0.733093228885532
AT1G51140	regulates	AT3G08660	0.362577703448685
AT1G51140	regulates	AT3G15354	0.407144641125206
AT1G51140	regulates	AT3G15570	0.460464287236227
AT4G36730	regulates	AT3G21560	0.417274642266269
AT4G36780	regulates	AT3G21870	0.344266287835104
AT4G36730	regulates	AT3G23210	0.730477557334022
AT1G51140	regulates	AT3G23810	0.331807206711867
AT5G37020	regulates	AT3G50460	0.337562454936966
AT5G37020	regulates	AT3G60630	0.601854509709324
AT4G36730	regulates	AT3G61150	0.404313853435443
AT4G36780	regulates	AT4G01540	0.449856707587075
AT4G36780	regulates	AT4G11660	0.52852368575181
