Regulator	Interaction	Target	Weight
AT4G36730	regulates	AT1G01060	0.281246460093681
AT4G36780	regulates	AT1G01060	0.136690619334683
AT5G37020	regulates	AT1G01060	0.314522225981701
AT1G51140	regulates	AT1G01520	0.529237052819495
AT4G36730	regulates	AT1G01520	0.627406391493135
AT4G36780	regulates	AT1G01520	0.770215429574935
AT5G37020	regulates	AT1G01520	0.353745660320457
AT4G36730	regulates	AT1G02030	0.800115103520482
AT4G36780	regulates	AT1G02030	0.601028588978281
AT5G37020	regulates	AT1G02030	0.307405519191152
AT4G36730	regulates	AT1G02340	0.221715455929867
AT4G36780	regulates	AT1G02340	0.242117412778526
AT5G37020	regulates	AT1G02340	0.627328855416248
AT4G36730	regulates	AT1G03170	0.441137524535981
AT4G36780	regulates	AT1G03170	0.173406157500329
AT5G37020	regulates	AT1G03170	0.491642663583927
AT1G51140	regulates	AT1G05420	0.443633421116723
AT4G36730	regulates	AT1G05420	0.170296360591521
AT4G36780	regulates	AT1G05420	0.442281647035577
AT4G36730	regulates	AT1G05710	0.131425391843445
AT4G36780	regulates	AT1G05710	0.260535389533462
AT5G37020	regulates	AT1G05710	0.460003839340984
AT4G36730	regulates	AT1G06040	0.281246460093681
AT4G36780	regulates	AT1G06040	0.213882907857825
AT5G37020	regulates	AT1G06040	0.274100092747208
AT1G51140	regulates	AT1G07010	0.281246460093681
AT4G36730	regulates	AT1G07010	0.601028588978281
AT5G37020	regulates	AT1G07010	0.395671854597525
AT5G37020	regulates	AT1G07128	0.281246460093681
AT4G36730	regulates	AT1G07160	0.227383788438602
AT4G36780	regulates	AT1G07160	0.17672464867778
AT4G36730	regulates	AT1G10120	0.495743743211771
AT4G36780	regulates	AT1G10120	0.441137524535981
AT4G36730	regulates	AT1G10370	0.281246460093681
AT4G36780	regulates	AT1G10370	0.153235204285337
AT4G36730	regulates	AT1G10480	0.439639541885883
AT5G37020	regulates	AT1G10480	0.366312415227435
AT1G51140	regulates	AT1G12370	0.631072648501966
AT4G36730	regulates	AT1G12370	0.609901065729527
AT5G37020	regulates	AT1G12370	0.0769505478075877
AT1G51140	regulates	AT1G13670	0.847744568728685
AT4G36780	regulates	AT1G13670	0.336976819666814
AT5G37020	regulates	AT1G13670	0.635398062154512
AT5G37020	regulates	AT1G13740	0.254545263293011
AT4G36730	regulates	AT1G14345	0.667627084397279
AT4G36780	regulates	AT1G14345	0.945297980573056
AT5G37020	regulates	AT1G14345	0.309518209918717
