Feature,Importance,Target Gene
AT1G51140,0.43462405332250353,AT1G01060
AT4G36730,0.2853208859212885,AT1G01060
AT4G36780,0.3000385484516365,AT1G01060
AT5G37020,0.4477976287443346,AT1G01060
AT1G51140,0.08970156918498612,AT1G01520
AT4G36730,0.5597470359304182,AT1G01520
AT4G36780,0.48511409780636244,AT1G01520
AT5G37020,0.33321841351799636,AT1G01520
AT1G51140,0.5224305668683903,AT1G02030
AT4G36730,0.61572173952346,AT1G02030
AT4G36780,0.1865823453101394,AT1G02030
AT5G37020,0.14304646473777344,AT1G02030
AT1G51140,0.5076492107121695,AT1G02340
AT4G36730,0.12785516582921935,AT1G02340
AT4G36780,0.36342989841911866,AT1G02340
AT5G37020,0.4688468414792555,AT1G02340
AT1G51140,0.18327259231508428,AT1G03170
AT4G36730,0.45327017796523733,AT1G03170
AT4G36780,0.7006307044423442,AT1G03170
AT5G37020,0.13060764171709754,AT1G03170
AT1G51140,0.3817721567218497,AT1G05420
AT4G36730,0.4050238649229987,AT1G05420
AT4G36780,0.30115454625041965,AT1G05420
AT5G37020,0.379830548544495,AT1G05420
AT1G51140,0.5936669546400873,AT1G05710
AT4G36730,0.1138532128473529,AT1G05710
AT4G36780,0.37938410213061674,AT1G05710
AT5G37020,0.380876846821706,AT1G05710
AT1G51140,0.48486821853036643,AT1G06040
AT4G36730,0.22389881437216722,AT1G06040
AT4G36780,0.3429748334458663,AT1G06040
AT5G37020,0.416039250091363,AT1G06040
AT1G51140,0.4906661933510638,AT1G07010
AT4G36730,0.17414352228946334,AT1G07010
AT4G36780,0.46712317924098506,AT1G07010
AT5G37020,0.3358482215582509,AT1G07010
AT1G51140,0.635324375714896,AT1G07128
AT4G36730,0.3795980168746492,AT1G07128
AT4G36780,0.2381229849624864,AT1G07128
AT5G37020,0.2147357388877314,AT1G07128
AT1G51140,0.5853421544017035,AT1G07160
AT4G36730,0.07208148600065428,AT1G07160
AT4G36780,0.304751164006561,AT1G07160
AT5G37020,0.5056063120308446,AT1G07160
AT1G51140,0.6055427814082811,AT1G10120
AT4G36730,0.29525562447360904,AT1G10120
AT4G36780,0.08274377583638275,AT1G10120
AT5G37020,0.4842389347214904,AT1G10120
AT1G51140,0.4167005711926447,AT1G10370
AT4G36730,0.4291393942133206,AT1G10370
AT4G36780,0.3234093985375749,AT1G10370
AT5G37020,0.29853175249622305,AT1G10370
AT1G51140,0.6447903046717117,AT1G10480
AT4G36730,0.21268809886898732,AT1G10480
AT4G36780,0.39182292515129274,AT1G10480
AT5G37020,0.21847978774777124,AT1G10480
AT1G51140,0.29853175249622305,AT1G12370
AT4G36730,0.5037723323373763,AT1G12370
AT4G36780,0.44157821723399654,AT1G12370
AT5G37020,0.22389881437216722,AT1G12370
AT1G51140,0.628160562544136,AT1G13670
AT4G36730,0.5037723323373763,AT1G13670
AT4G36780,0.11194940718608354,AT1G13670
AT5G37020,0.22389881437216722,AT1G13670
AT1G51140,0.4609904210158281,AT1G13740
AT4G36730,0.3341421473874675,AT1G13740
AT4G36780,0.3741167955402445,AT1G13740
AT5G37020,0.29853175249622305,AT1G13740
AT1G51140,0.39182292515129274,AT1G14345
AT4G36730,0.37938410213061674,AT1G14345
AT4G36780,0.4602364517650105,AT1G14345
AT5G37020,0.23633763739284314,AT1G14345
AT1G51140,0.22048556467511302,AT1G14430
AT4G36730,0.4211641260196894,AT1G14430
AT4G36780,0.732840253089891,AT1G14430
AT5G37020,0.0932911726550697,AT1G14430
AT1G51140,0.2798735179652091,AT1G16720
AT4G36730,0.3669452791099408,AT1G16720
AT4G36780,0.4913335093167004,AT1G16720
AT5G37020,0.32962881004791295,AT1G16720
AT1G51140,0.31147275308219713,AT1G17100
