Feature,Importance,Target Gene
AT1G51140,0.40049105864455736,AT1G01060
AT4G36730,0.12192550147269585,AT1G01060
AT4G36780,0.2675577175118726,AT1G01060
AT5G37020,0.21002572237087427,AT1G01060
AT1G01260,0.10691077925409405,AT1G01260
AT1G58100,0.32471506255969396,AT1G01260
AT3G48590,0.1276574549605648,AT1G01260
AT5G06110,0.31231852518534553,AT1G01260
AT5G63470,0.12839817804030168,AT1G01260
AT1G51140,0.23328094570945307,AT1G01520
AT4G36730,0.2897808610169875,AT1G01520
AT4G36780,0.28669483607053453,AT1G01520
AT5G37020,0.19024335720302485,AT1G01520
AT1G43700,0.6700727356292795,AT1G01580
AT1G68640,0.13709840196931108,AT1G01580
AT2G28450,0.19282886240140942,AT1G01580
AT1G51140,0.3674469051982289,AT1G02030
AT4G36730,0.3611034186625881,AT1G02030
AT4G36780,0.1716515264606403,AT1G02030
AT5G37020,0.09979814967854249,AT1G02030
AT1G51140,0.3209694701711638,AT1G02340
AT4G36730,0.17607028033453762,AT1G02340
AT4G36780,0.2543953615708028,AT1G02340
AT5G37020,0.2485648879234958,AT1G02340
AT3G57920,0.2874594693004603,AT1G02810
AT4G17230,0.488955361980643,AT1G02810
AT5G11260,0.2235851687188967,AT1G02810
AT1G51140,0.07601839395987281,AT1G03170
AT4G36730,0.31037978358649004,AT1G03170
AT4G36780,0.5177587013346648,AT1G03170
AT5G37020,0.09584312111897236,AT1G03170
AT1G04990,0.3933175532191306,AT1G04990
AT1G30330,0.12671845016814373,AT1G04990
AT2G36080,0.47996399661272576,AT1G04990
AT1G51140,0.27998013009975714,AT1G05420
AT4G36730,0.3194388382424798,AT1G05420
AT4G36780,0.22674641129997408,AT1G05420
AT5G37020,0.17383462035778902,AT1G05420
AT1G51140,0.3836264485081814,AT1G05710
AT4G36730,0.15780319472235166,AT1G05710
AT4G36780,0.2366928391447802,AT1G05710
AT5G37020,0.22187751762468672,AT1G05710
AT1G43700,0.6658755888785887,AT1G05805
AT1G68640,0.16944041008769725,AT1G05805
AT2G28450,0.16468400103371414,AT1G05805
AT1G04990,0.15724350790839872,AT1G06002
AT1G30330,0.1328334812797084,AT1G06002
AT2G36080,0.7099230108118929,AT1G06002
AT1G51140,0.2574080921292007,AT1G06040
AT4G36730,0.16779893954876354,AT1G06040
AT4G36780,0.19612068116742032,AT1G06040
AT5G37020,0.37867228715461554,AT1G06040
AT1G51140,0.29870526691024757,AT1G07010
AT4G36730,0.15621452824907536,AT1G07010
AT4G36780,0.3086570308880267,AT1G07010
AT5G37020,0.23642317395265025,AT1G07010
AT1G51140,0.49423385547636967,AT1G07128
AT4G36730,0.18490255548825807,AT1G07128
AT4G36780,0.1192066230143975,AT1G07128
AT5G37020,0.20165696602097483,AT1G07128
AT3G57920,0.30328779845586834,AT1G07135
AT4G17230,0.4192019222005507,AT1G07135
AT5G11260,0.27751027934358097,AT1G07135
AT1G04990,0.6050846153393251,AT1G07150
AT1G30330,0.22143247704754343,AT1G07150
AT2G36080,0.17348290761313148,AT1G07150
AT1G51140,0.5184930233506099,AT1G07160
AT4G36730,0.08410163620136478,AT1G07160
AT4G36780,0.13869924570732992,AT1G07160
AT5G37020,0.2587060947406954,AT1G07160
AT1G04990,0.19480850771240837,AT1G07620
AT1G30330,0.5669974562574174,AT1G07620
AT2G36080,0.2381940360301742,AT1G07620
AT1G01260,0.16154769121879606,AT1G07640
AT1G58100,0.2061080329300578,AT1G07640
AT3G48590,0.1701427322593817,AT1G07640
AT5G06110,0.29282870042734327,AT1G07640
AT5G63470,0.1693728431644211,AT1G07640
AT1G04990,0.29256548422870493,AT1G07690
AT1G30330,0.3454948441468189,AT1G07690
AT2G36080,0.3619396716244761,AT1G07690
AT1G01260,0.09137968555944502,AT1G08000
AT1G58100,0.3336997911934865,AT1G08000
AT3G48590,0.11868216040349613,AT1G08000
AT5G06110,0.3370042545541856,AT1G08000
AT5G63470,0.11923410828938669,AT1G08000
AT1G43700,0.6506745150685718,AT1G08920
AT1G68640,0.18493530960628524,AT1G08920
AT2G28450,0.16439017532514305,AT1G08920
AT3G57920,0.41800881179976884,AT1G09070
AT4G17230,0.30411174317102063,AT1G09070
AT5G11260,0.27787944502921047,AT1G09070
AT1G04990,0.23579385509347625,AT1G09540
AT1G30330,0.43508425091303826,AT1G09540
AT2G36080,0.3291218939934854,AT1G09540
AT3G57920,0.25766338351719115,AT1G09950
AT4G17230,0.25704073079070705,AT1G09950
AT5G11260,0.48529588569210186,AT1G09950
AT1G51140,0.5327023192163254,AT1G10120
AT4G36730,0.13215900780758405,AT1G10120
AT4G36780,0.06907140534869376,AT1G10120
AT5G37020,0.26606726762739685,AT1G10120
AT1G51140,0.2696945210418546,AT1G10370
AT4G36730,0.16860000459716087,AT1G10370
AT4G36780,0.3171041078635623,AT1G10370
AT5G37020,0.2446013664974223,AT1G10370
AT1G51140,0.5491209431076247,AT1G10480
AT4G36730,0.10993004918029962,AT1G10480
AT4G36780,0.15496064535074983,AT1G10480
AT5G37020,0.18598836236132588,AT1G10480
AT1G04990,0.1976069765956889,AT1G12240
AT1G30330,0.4466496116376716,AT1G12240
AT2G36080,0.3557434117666396,AT1G12240
AT1G51140,0.2158258029954068,AT1G12370
AT4G36730,0.31631452970226304,AT1G12370
AT4G36780,0.19585577468653523,AT1G12370
AT5G37020,0.272003892615795,AT1G12370
AT3G57920,0.5604908708673484,AT1G12610
AT4G17230,0.18578714359851914,AT1G12610
AT5G11260,0.2537219855341325,AT1G12610
AT1G04990,0.1962260505684105,AT1G13110
AT1G30330,0.31908476051932116,AT1G13110
AT2G36080,0.4846891889122682,AT1G13110
AT1G51140,0.4624196610400468,AT1G13670
AT4G36730,0.24651107812379988,AT1G13670
AT4G36780,0.13115270465606985,AT1G13670
AT5G37020,0.15991655618008357,AT1G13670
AT1G51140,0.3400180283494448,AT1G13740
AT4G36730,0.12622852379013244,AT1G13740
AT4G36780,0.29015850815447847,AT1G13740
AT5G37020,0.24359493970594437,AT1G13740
AT1G04990,0.19425283757695988,AT1G13930
AT1G30330,0.6003263922112217,AT1G13930
AT2G36080,0.2054207702118184,AT1G13930
AT1G51140,0.33914123161777365,AT1G14345
AT4G36730,0.2724203342418353,AT1G14345
AT4G36780,0.20118951891106204,AT1G14345
AT5G37020,0.18724891522932893,AT1G14345
AT1G51140,0.1061959834298444,AT1G14430
AT4G36730,0.30801452909448906,AT1G14430
AT4G36780,0.49739934029107746,AT1G14430
AT5G37020,0.0883901471845891,AT1G14430
AT1G04990,0.59622886841527,AT1G15100
AT1G30330,0.23457110153815072,AT1G15100
AT2G36080,0.16920003004657924,AT1G15100
AT1G04990,0.30500752710479734,AT1G15640
AT1G30330,0.26566808503628586,AT1G15640
AT2G36080,0.4293243878589168,AT1G15640
AT1G51140,0.22424871600893098,AT1G16720
AT4G36730,0.26516948379943606,AT1G16720
AT4G36780,0.147815754656855,AT1G16720
AT5G37020,0.3627660455347779,AT1G16720
AT1G51140,0.1910802208228954,AT1G17100
AT4G36730,0.16851836498910275,AT1G17100
AT4G36780,0.10565462613219212,AT1G17100
AT5G37020,0.5347467880558098,AT1G17100
AT1G01260,0.168890923723622,AT1G17380
AT1G58100,0.18668175579863905,AT1G17380
AT3G48590,0.11737746916784188,AT1G17380
AT5G06110,0.40798469886825334,AT1G17380
AT5G63470,0.11906515244164378,AT1G17380
AT1G43700,0.6884044898576973,AT1G17750
AT1G68640,0.12874183385046842,AT1G17750
AT2G28450,0.18285367629183422,AT1G17750
AT1G51140,0.43341135383831275,AT1G17920
