Feature,Importance,Target Gene
AT1G51140,0.4096854164969647,AT1G01060
AT4G36730,0.11036482586191071,AT1G01060
AT4G36780,0.2952050216417355,AT1G01060
AT5G37020,0.18474473599938906,AT1G01060
AT1G01260,0.15271696265821555,AT1G01260
AT1G58100,0.2764318468716994,AT1G01260
AT3G48590,0.0973787404323552,AT1G01260
AT5G06110,0.33263993675315334,AT1G01260
AT5G63470,0.1408325132845764,AT1G01260
AT1G51140,0.22496894050506988,AT1G01520
AT4G36730,0.30490106144535667,AT1G01520
AT4G36780,0.31717178652539574,AT1G01520
AT5G37020,0.15295821152417763,AT1G01520
AT1G43700,0.6784920079878782,AT1G01580
AT1G68640,0.13751803908857518,AT1G01580
AT2G28450,0.18398995292354667,AT1G01580
AT1G51140,0.31966306255296256,AT1G02030
AT4G36730,0.404662699002397,AT1G02030
AT4G36780,0.1941833242990069,AT1G02030
AT5G37020,0.08149091414563346,AT1G02030
AT1G51140,0.3454752634385915,AT1G02340
AT4G36730,0.15357153708701346,AT1G02340
AT4G36780,0.24098699316841138,AT1G02340
AT5G37020,0.25996620630598377,AT1G02340
AT3G57920,0.30537525791384934,AT1G02810
AT4G17230,0.46393838854428315,AT1G02810
AT5G11260,0.23068635354186756,AT1G02810
AT1G51140,0.12159057258905111,AT1G03170
AT4G36730,0.30123868716681346,AT1G03170
AT4G36780,0.49372399674037504,AT1G03170
AT5G37020,0.08344674350376045,AT1G03170
AT1G04990,0.4083618926878464,AT1G04990
AT1G30330,0.11788063294487501,AT1G04990
AT2G36080,0.4737574743672786,AT1G04990
AT1G51140,0.2821712493865042,AT1G05420
AT4G36730,0.3476379134753349,AT1G05420
AT4G36780,0.19945903759824352,AT1G05420
AT5G37020,0.17073179953991738,AT1G05420
AT1G51140,0.4057231913100258,AT1G05710
AT4G36730,0.16346966156845208,AT1G05710
AT4G36780,0.1880732877508604,AT1G05710
AT5G37020,0.24273385937066166,AT1G05710
AT1G43700,0.6859152209209037,AT1G05805
AT1G68640,0.17277680125929457,AT1G05805
AT2G28450,0.14130797781980173,AT1G05805
AT1G04990,0.1422215356384057,AT1G06002
AT1G30330,0.18623548162325343,AT1G06002
AT2G36080,0.6715429827383409,AT1G06002
AT1G51140,0.25745431526048834,AT1G06040
AT4G36730,0.21626993245676104,AT1G06040
AT4G36780,0.1967849740819021,AT1G06040
AT5G37020,0.32949077820084843,AT1G06040
AT1G51140,0.2885656524270344,AT1G07010
AT4G36730,0.16402069955432194,AT1G07010
AT4G36780,0.32436403430056193,AT1G07010
AT5G37020,0.2230496137180817,AT1G07010
AT1G51140,0.53133701148199,AT1G07128
AT4G36730,0.20673230250259236,AT1G07128
AT4G36780,0.10827130764535141,AT1G07128
AT5G37020,0.15365937837006632,AT1G07128
AT3G57920,0.29402186670944797,AT1G07135
AT4G17230,0.5021811197679927,AT1G07135
AT5G11260,0.20379701352255936,AT1G07135
AT1G04990,0.5916138555839638,AT1G07150
AT1G30330,0.26201180354795606,AT1G07150
AT2G36080,0.1463743408680801,AT1G07150
AT1G51140,0.5541703693400735,AT1G07160
AT4G36730,0.07058862029247565,AT1G07160
AT4G36780,0.11687274029886557,AT1G07160
AT5G37020,0.25836827006858526,AT1G07160
AT1G04990,0.20609769743408785,AT1G07620
AT1G30330,0.5869330688944168,AT1G07620
AT2G36080,0.20696923367149545,AT1G07620
AT1G01260,0.14060890902487114,AT1G07640
AT1G58100,0.20342462888117288,AT1G07640
AT3G48590,0.18418746930998978,AT1G07640
AT5G06110,0.2704497368821636,AT1G07640
AT5G63470,0.20132925590180262,AT1G07640
AT1G04990,0.2913527691385425,AT1G07690
AT1G30330,0.3740421090481095,AT1G07690
AT2G36080,0.33460512181334806,AT1G07690
AT1G01260,0.12597561451683117,AT1G08000
AT1G58100,0.31547642256983965,AT1G08000
AT3G48590,0.08101294173795229,AT1G08000
AT5G06110,0.34514034941133714,AT1G08000
AT5G63470,0.1323946717640398,AT1G08000
AT1G43700,0.648286948868106,AT1G08920
AT1G68640,0.19753037920560687,AT1G08920
AT2G28450,0.15418267192628712,AT1G08920
AT3G57920,0.40858101414109127,AT1G09070
AT4G17230,0.30606341429708733,AT1G09070
AT5G11260,0.2853555715618214,AT1G09070
AT1G04990,0.20034065500627582,AT1G09540
AT1G30330,0.4911683446634639,AT1G09540
AT2G36080,0.3084910003302602,AT1G09540
AT3G57920,0.2855206000512652,AT1G09950
AT4G17230,0.2771716467473659,AT1G09950
AT5G11260,0.437307753201369,AT1G09950
AT1G51140,0.5497860480406086,AT1G10120
AT4G36730,0.149179409699056,AT1G10120
AT4G36780,0.0751539775944787,AT1G10120
AT5G37020,0.22588056466585674,AT1G10120
AT1G51140,0.3288952690980351,AT1G10370
AT4G36730,0.1761660642056432,AT1G10370
AT4G36780,0.2731501919374891,AT1G10370
AT5G37020,0.2217884747588326,AT1G10370
AT1G51140,0.5049501306539993,AT1G10480
AT4G36730,0.1500461861036296,AT1G10480
AT4G36780,0.16226448105761762,AT1G10480
AT5G37020,0.18273920218475348,AT1G10480
AT1G04990,0.17049854525272556,AT1G12240
AT1G30330,0.5030568588558587,AT1G12240
AT2G36080,0.32644459589141583,AT1G12240
AT1G51140,0.17428345624535818,AT1G12370
AT4G36730,0.3494606036835035,AT1G12370
AT4G36780,0.24191805148370418,AT1G12370
AT5G37020,0.23433788858743415,AT1G12370
AT3G57920,0.6256330389142319,AT1G12610
AT4G17230,0.1836030189559521,AT1G12610
AT5G11260,0.19076394212981604,AT1G12610
AT1G04990,0.219471656707514,AT1G13110
AT1G30330,0.2848478316386393,AT1G13110
AT2G36080,0.4956805116538467,AT1G13110
AT1G51140,0.4069571887986564,AT1G13670
AT4G36730,0.262668766513681,AT1G13670
AT4G36780,0.1906934371267915,AT1G13670
AT5G37020,0.1396806075608713,AT1G13670
AT1G51140,0.31378685645768273,AT1G13740
AT4G36730,0.11327763479826963,AT1G13740
AT4G36780,0.3274136886955592,AT1G13740
AT5G37020,0.2455218200484884,AT1G13740
AT1G04990,0.1651667864541385,AT1G13930
