Feature,Importance,Target Gene
AT1G51140,0.1973715848200317,AT1G01060
AT4G36730,0.30275144302633894,AT1G01060
AT4G36780,0.3016708086464679,AT1G01060
AT5G37020,0.19820616350716133,AT1G01060
AT1G01260,0.22910642807097845,AT1G01260
AT1G58100,0.18628585433066774,AT1G01260
AT3G48590,0.17887737283630195,AT1G01260
AT5G06110,0.2128632276911812,AT1G01260
AT5G63470,0.1928671170708707,AT1G01260
AT1G51140,0.27706512977265535,AT1G01520
AT4G36730,0.22551371213506696,AT1G01520
AT4G36780,0.2264331975824159,AT1G01520
AT5G37020,0.27098796050986185,AT1G01520
AT1G43700,0.5218957293736183,AT1G01580
AT1G68640,0.35181672285883236,AT1G01580
AT2G28450,0.12628754776754944,AT1G01580
AT1G51140,0.2024657376954282,AT1G02030
AT4G36730,0.3412294646967435,AT1G02030
AT4G36780,0.3125369982440889,AT1G02030
AT5G37020,0.14376779936373935,AT1G02030
AT1G51140,0.23463455668125807,AT1G02340
AT4G36730,0.3920213280933944,AT1G02340
AT4G36780,0.22606665849796265,AT1G02340
AT5G37020,0.14727745672738493,AT1G02340
AT3G57920,0.4195927439418902,AT1G02810
AT4G17230,0.27824858340433906,AT1G02810
AT5G11260,0.3021586726537707,AT1G02810
AT1G51140,0.1370039512624612,AT1G03170
AT4G36730,0.2696464862987591,AT1G03170
AT4G36780,0.3353411281294109,AT1G03170
AT5G37020,0.25800843430936876,AT1G03170
AT1G04990,0.27850801496131955,AT1G04990
AT1G30330,0.2150307029671442,AT1G04990
AT2G36080,0.5064612820715363,AT1G04990
AT1G51140,0.19807581845089098,AT1G05420
AT4G36730,0.3490737615734467,AT1G05420
AT4G36780,0.2735953657920295,AT1G05420
AT5G37020,0.17925505418363286,AT1G05420
AT1G51140,0.2504949174213202,AT1G05710
AT4G36730,0.3682227295562679,AT1G05710
AT4G36780,0.23878805226921243,AT1G05710
AT5G37020,0.1424943007531995,AT1G05710
AT1G43700,0.5402704950054705,AT1G05805
AT1G68640,0.3580422795928385,AT1G05805
AT2G28450,0.1016872254016909,AT1G05805
AT1G04990,0.44718961890953046,AT1G06002
AT1G30330,0.15354164213605292,AT1G06002
AT2G36080,0.3992687389544166,AT1G06002
AT1G51140,0.2407316432844144,AT1G06040
AT4G36730,0.2858225235185509,AT1G06040
AT4G36780,0.2585584590156238,AT1G06040
AT5G37020,0.2148873741814109,AT1G06040
AT1G51140,0.3074920631462653,AT1G07010
AT4G36730,0.2133606741732293,AT1G07010
AT4G36780,0.20666657169781752,AT1G07010
AT5G37020,0.27248069098268773,AT1G07010
AT1G51140,0.21389076205175198,AT1G07128
AT4G36730,0.3307241711438787,AT1G07128
AT4G36780,0.2636773191701913,AT1G07128
AT5G37020,0.19170774763417814,AT1G07128
AT3G57920,0.34535820300785236,AT1G07135
AT4G17230,0.3438039939205888,AT1G07135
AT5G11260,0.31083780307155884,AT1G07135
AT1G04990,0.6213049723973691,AT1G07150
AT1G30330,0.22189904475471275,AT1G07150
AT2G36080,0.1567959828479181,AT1G07150
AT1G51140,0.3039166383849714,AT1G07160
AT4G36730,0.3229877919487665,AT1G07160
AT4G36780,0.23438529761446603,AT1G07160
AT5G37020,0.1387102720517961,AT1G07160
AT1G04990,0.30239208721995525,AT1G07620
AT1G30330,0.4636018493767931,AT1G07620
AT2G36080,0.23400606340325167,AT1G07620
AT1G01260,0.34999053095439747,AT1G07640
AT1G58100,0.11849030643149382,AT1G07640
AT3G48590,0.11574946461545155,AT1G07640
AT5G06110,0.2982397330748589,AT1G07640
AT5G63470,0.11752996492379834,AT1G07640
AT1G04990,0.6217572374983482,AT1G07690
AT1G30330,0.21913535614825308,AT1G07690
AT2G36080,0.15910740635339876,AT1G07690
AT1G01260,0.1843832394022401,AT1G08000
AT1G58100,0.20324762862093737,AT1G08000
AT3G48590,0.18401411969771048,AT1G08000
AT5G06110,0.21336868667333456,AT1G08000
AT5G63470,0.21498632560577752,AT1G08000
AT1G43700,0.46945816520919126,AT1G08920
AT1G68640,0.37740750082799013,AT1G08920
AT2G28450,0.15313433396281856,AT1G08920
AT3G57920,0.3046862964602105,AT1G09070
AT4G17230,0.39540722694228525,AT1G09070
AT5G11260,0.2999064765975042,AT1G09070
AT1G04990,0.32166168516591814,AT1G09540
AT1G30330,0.17638341585013595,AT1G09540
AT2G36080,0.501954898983946,AT1G09540
AT3G57920,0.40537225447696335,AT1G09950
AT4G17230,0.18057695194102985,AT1G09950
AT5G11260,0.4140507935820068,AT1G09950
AT1G51140,0.3431898511585484,AT1G10120
AT4G36730,0.23428008032200962,AT1G10120
AT4G36780,0.1738685641252894,AT1G10120
AT5G37020,0.24866150439415263,AT1G10120
AT1G51140,0.1763315998591773,AT1G10370
AT4G36730,0.32120102720260485,AT1G10370
AT4G36780,0.28407359134599264,AT1G10370
AT5G37020,0.21839378159222517,AT1G10370
AT1G51140,0.16630121701318581,AT1G10480
AT4G36730,0.2935071671880972,AT1G10480
AT4G36780,0.43756450159589416,AT1G10480
AT5G37020,0.1026271142028228,AT1G10480
AT1G04990,0.3162632027518257,AT1G12240
AT1G30330,0.30075854769337246,AT1G12240
AT2G36080,0.38297824955480186,AT1G12240
AT1G51140,0.21690171647035755,AT1G12370
AT4G36730,0.33644570001352553,AT1G12370
AT4G36780,0.23321718793553287,AT1G12370
AT5G37020,0.2134353955805841,AT1G12370
AT3G57920,0.4193329622077229,AT1G12610
AT4G17230,0.4460763734810095,AT1G12610
AT5G11260,0.13459066431126765,AT1G12610
AT1G04990,0.3412204625196608,AT1G13110
AT1G30330,0.43477152583050566,AT1G13110
AT2G36080,0.22400801164983353,AT1G13110
AT1G51140,0.24975422010196213,AT1G13670
AT4G36730,0.3227437823488416,AT1G13670
AT4G36780,0.24150682521310327,AT1G13670
AT5G37020,0.18599517233609292,AT1G13670
AT1G51140,0.20790169931707847,AT1G13740
AT4G36730,0.33882598412777654,AT1G13740
AT4G36780,0.25427847529096814,AT1G13740
AT5G37020,0.19899384126417688,AT1G13740
AT1G04990,0.2063416809385167,AT1G13930
AT1G30330,0.43809427856587657,AT1G13930
AT2G36080,0.3555640404956068,AT1G13930
AT1G51140,0.27599860878089416,AT1G14345
AT4G36730,0.3376087792292856,AT1G14345
AT4G36780,0.2476297067055348,AT1G14345
AT5G37020,0.1387629052842855,AT1G14345
AT1G51140,0.1596790685933717,AT1G14430
AT4G36730,0.4666840564938342,AT1G14430
AT4G36780,0.21609724692485707,AT1G14430
AT5G37020,0.157539627987937,AT1G14430
AT1G04990,0.689000134687567,AT1G15100
AT1G30330,0.18459869377577046,AT1G15100
AT2G36080,0.1264011715366625,AT1G15100
AT1G04990,0.32317595135339555,AT1G15640
AT1G30330,0.4570284135230663,AT1G15640
AT2G36080,0.21979563512353822,AT1G15640
AT1G51140,0.2246352987440643,AT1G16720
AT4G36730,0.38857651243860464,AT1G16720
AT4G36780,0.22791609291605283,AT1G16720
AT5G37020,0.15887209590127835,AT1G16720
AT1G51140,0.33894935555786143,AT1G17100
AT4G36730,0.2023442796044314,AT1G17100
AT4G36780,0.15727948141452744,AT1G17100
AT5G37020,0.3014268834231796,AT1G17100
AT1G01260,0.25001339764295305,AT1G17380
AT1G58100,0.1776934932028151,AT1G17380
AT3G48590,0.1489170096501654,AT1G17380
AT5G06110,0.24668652116344505,AT1G17380
AT5G63470,0.1766895783406214,AT1G17380
AT1G43700,0.5201507863123057,AT1G17750
AT1G68640,0.3470651719914751,AT1G17750
AT2G28450,0.13278404169621927,AT1G17750
AT1G51140,0.32765829307881805,AT1G17920
AT4G36730,0.16161070743493638,AT1G17920
AT4G36780,0.21888394661648375,AT1G17920
AT5G37020,0.29184705286976187,AT1G17920
AT1G43700,0.1825261748459053,AT1G18100
AT1G68640,0.3684371188956011,AT1G18100
AT2G28450,0.4490367062584936,AT1G18100
AT3G57920,0.37290113951263393,AT1G18300
AT4G17230,0.1652470705794881,AT1G18300
AT5G11260,0.461851789907878,AT1G18300
AT1G51140,0.34013368723427007,AT1G18330
AT4G36730,0.18702130987873122,AT1G18330
AT4G36780,0.17307719501558677,AT1G18330
AT5G37020,0.2997678078714119,AT1G18330
AT1G51140,0.243819777599558,AT1G18810
AT4G36730,0.2922482419611235,AT1G18810
AT4G36780,0.24984239122859406,AT1G18810
AT5G37020,0.21408958921072457,AT1G18810
AT1G04990,0.5602119744623113,AT1G18830
AT1G30330,0.27830903907950066,AT1G18830
AT2G36080,0.16147898645818815,AT1G18830
AT1G01260,0.35232631837491535,AT1G19180
AT1G58100,0.11708835511607495,AT1G19180
AT3G48590,0.1042783958958463,AT1G19180
AT5G06110,0.30999031105652985,AT1G19180
AT5G63470,0.11631661955663351,AT1G19180
AT1G04990,0.2133915762307471,AT1G19220
AT1G30330,0.45088407763029087,AT1G19220
AT2G36080,0.3357243461389621,AT1G19220
AT3G57920,0.2479370745465894,AT1G19380
AT4G17230,0.516976181705844,AT1G19380
AT5G11260,0.23508674374756672,AT1G19380
AT1G51140,0.16760258269692915,AT1G19490
AT4G36730,0.25855211756810437,AT1G19490
AT4G36780,0.3856254853213138,AT1G19490
AT5G37020,0.18821981441365274,AT1G19490
AT3G57920,0.282683538701711,AT1G19510
AT4G17230,0.25185227916434394,AT1G19510
AT5G11260,0.4654641821339451,AT1G19510
AT1G43700,0.26835249927839366,AT1G19670
AT1G68640,0.23884097669660626,AT1G19670
AT2G28450,0.4928065240250001,AT1G19670
AT3G57920,0.44513929564677995,AT1G20310
AT4G17230,0.2952386696864459,AT1G20310
AT5G11260,0.2596220346667742,AT1G20310
AT3G57920,0.4371117554886155,AT1G20520
AT4G17230,0.23466629473719877,AT1G20520
AT5G11260,0.3282219497741857,AT1G20520
AT1G43700,0.3306127253157873,AT1G21450
AT1G68640,0.36159921035484516,AT1G21450
AT2G28450,0.30778806432936756,AT1G21450
