Feature,Importance,Target Gene
AT1G51140,0.522271067234503,AT1G01060
AT5G37020,0.3408066853473443,AT1G01060
AT4G36730,0.4256437697782732,AT1G01520
AT5G37020,0.398093587672176,AT1G01520
AT1G51140,0.405944654147058,AT1G02030
AT4G36730,0.4809795179779997,AT1G02030
AT1G51140,0.4678519720132473,AT1G02340
AT4G36730,0.4077234351928423,AT1G03170
AT4G36780,0.5507695835587185,AT1G03170
AT4G36730,0.36795989506905,AT1G05420
AT5G37020,0.4049941553786282,AT1G05420
AT1G51140,0.5556956427261552,AT1G05710
AT5G37020,0.5659355101072019,AT1G06040
AT1G51140,0.3750843995324771,AT1G07010
AT4G36780,0.5127394409204522,AT1G07010
AT1G51140,0.596967393403795,AT1G07128
AT1G51140,0.4969753110847043,AT1G07160
AT5G37020,0.4477543412379692,AT1G07160
AT1G51140,0.4596391664016142,AT1G10120
AT5G37020,0.3973133769434834,AT1G10120
AT4G36780,0.3402482031654524,AT1G10370
AT1G51140,0.6747274575469294,AT1G10480
AT4G36730,0.4110782198569318,AT1G12370
AT4G36780,0.3369407077272604,AT1G12370
AT1G51140,0.457212745765296,AT1G13670
AT4G36730,0.3374724467790285,AT1G13670
AT1G51140,0.4133069011992386,AT1G13740
AT4G36780,0.5198846392516894,AT1G13740
AT4G36730,0.3450977627993522,AT1G14345
AT4G36780,0.3738630726409078,AT1G14345
AT4G36730,0.5254125885696386,AT1G14430
AT4G36780,0.4273006019978481,AT1G14430
AT4G36730,0.4070539755976366,AT1G16720
AT5G37020,0.6818055767547513,AT1G17100
AT1G51140,0.5276994322141233,AT1G17920
AT5G37020,0.6095352641247332,AT1G18330
AT4G36730,0.525125869145576,AT1G18810
AT4G36730,0.5273769334175129,AT1G19490
AT4G36730,0.5796988046963926,AT1G22680
AT4G36780,0.336835704071721,AT1G23010
AT5G37020,0.4007703079589811,AT1G23010
AT5G37020,0.6086987302550749,AT1G26790
AT1G51140,0.4551317295639199,AT1G27740
AT4G36730,0.3947768928717741,AT1G27740
AT1G51140,0.3582529289602699,AT1G28600
AT1G51140,0.6740826480461661,AT1G34520
AT1G51140,0.5797935559158104,AT1G42550
AT1G51140,0.6081636745037747,AT1G48100
AT4G36730,0.3407856389151524,AT1G48100
AT5G37020,0.5293315408557914,AT1G49010
AT4G36730,0.4721041079095606,AT1G50020
AT1G51140,0.3574972360210751,AT1G50250
AT4G36780,0.3550808373319119,AT1G50250
AT4G36730,0.6017816648413449,AT1G51140
AT4G36780,0.5725829260759299,AT1G52200
AT1G51140,0.4291643693457306,AT1G58460
AT4G36780,0.5113326222538261,AT1G58460
AT4G36730,0.6314924109857002,AT1G60270
AT1G51140,0.4382935362187158,AT1G62030
AT4G36780,0.4446721120185074,AT1G62030
AT5G37020,0.4018148040133275,AT1G62975
AT1G51140,0.494192018263044,AT1G63650
AT5G37020,0.4987829603732518,AT1G63650
AT4G36730,0.6835127425455793,AT1G64000
AT1G51140,0.5025476858657411,AT1G64500
AT4G36730,0.4830235554241538,AT1G66330
AT4G36780,0.3574865096862664,AT1G66330
AT5G37020,0.3897889702564185,AT1G66725
AT4G36730,0.4080275422325479,AT1G66920
AT5G37020,0.5150198090720548,AT1G66920
AT4G36730,0.5616547764619735,AT1G67070
AT4G36730,0.5171926743930942,AT1G70000
AT1G51140,0.5319587757427692,AT1G71692
AT4G36730,0.7015465802817148,AT1G72360
AT4G36730,0.4564241662662178,AT1G72500
AT4G36780,0.434864096363029,AT1G72500
AT4G36730,0.6025647179303792,AT1G73480
AT4G36730,0.5114271119612936,AT1G75100
AT4G36730,0.5010525755303087,AT1G75710
AT5G37020,0.3489113012504206,AT1G75710
AT1G51140,0.4784785303848789,AT1G76890
AT4G36730,0.3811869838486807,AT1G77530
AT4G36780,0.4698234152681493,AT1G77530
AT5G37020,0.7031157579127827,AT1G78450
AT4G36780,0.6812521786538812,AT1G78510
AT4G36780,0.5867451181358004,AT1G78820
AT5G37020,0.8245482446056056,AT1G80130
AT1G51140,0.5576255970478985,AT1G80340
AT5G37020,0.4811930357238791,AT1G80340
AT4G36780,0.3422925022113583,AT2G02070
AT5G37020,0.3536666706410118,AT2G02070
AT1G51140,0.3472759699930373,AT2G16660
AT5G37020,0.371120652506639,AT2G16660
AT4G36730,0.343121184423767,AT2G21320
AT5G37020,0.4548947192897221,AT2G21320
AT4G36780,0.6067040511441196,AT2G21970
AT4G36780,0.3789950641845916,AT2G24540
AT4G36780,0.627405576840111,AT2G25530
AT4G36730,0.4048876565695884,AT2G28550
AT5G37020,0.3379709253759168,AT2G28550
AT4G36730,0.6309111494687462,AT2G29450
AT4G36730,0.5353135131155172,AT2G30520
AT4G36730,0.5423249683528145,AT2G31380
AT4G36730,0.3597957686009105,AT2G31560
AT1G51140,0.3533115789729017,AT2G32930
AT4G36730,0.6108557119004151,AT2G32930
AT5G37020,0.5796381942293342,AT2G33380
AT5G37020,0.6946137993605542,AT2G34710
AT1G51140,0.7315544510942854,AT2G34720
AT5G37020,0.8520598963907522,AT2G35075
AT1G51140,0.3599611454397091,AT2G35660
AT1G51140,0.4863036140215014,AT2G36630
AT1G51140,0.4800847431960631,AT2G36790
AT4G36780,0.4013577137651234,AT2G36790
AT1G51140,0.4247710052717384,AT2G36800
AT4G36780,0.4321611709469509,AT2G36870
AT5G37020,0.405994123374373,AT2G37970
AT1G51140,0.3423869480360855,AT2G38210
AT5G37020,0.4968809398763596,AT2G38210
AT1G51140,0.5286027134631797,AT2G38230
AT4G36730,0.6277013330210672,AT2G38240
AT1G51140,0.5663977410085818,AT2G39200
AT4G36730,0.3718567482670444,AT2G39560
AT4G36780,0.5235249128980486,AT2G39560
AT5G37020,0.4744435023521103,AT2G41100
AT1G51140,0.4887099464595452,AT2G44370
AT1G51140,0.3322655935437028,AT2G46340
AT4G36730,0.4953148102390022,AT2G46340
AT1G51140,0.3899811251911578,AT2G46420
AT4G36780,0.5377469192547767,AT2G46420
AT1G51140,0.75627718388193,AT2G46830
