Feature,Importance,Target Gene
AT1G51140,0.5658708097298798,AT1G01060
AT5G37020,0.4210526315789474,AT1G01060
AT4G36730,0.3684210526315789,AT1G01520
AT4G36780,0.631578947368421,AT1G01520
AT1G51140,0.6842105263157897,AT1G02030
AT4G36730,0.5263157894736843,AT1G02030
AT1G51140,0.558713788782337,AT1G02340
AT5G37020,0.3360230533229261,AT1G02340
AT4G36730,0.5263157894736842,AT1G03170
AT4G36780,0.5201600655116002,AT1G03170
AT4G36730,0.3398075347554748,AT1G05420
AT4G36780,0.4039454783780416,AT1G05420
AT5G37020,0.4141417237085887,AT1G05420
AT1G51140,0.77684137809495,AT1G05710
AT1G51140,0.5179458397893916,AT1G06040
AT1G51140,0.5567653086680774,AT1G07010
AT4G36780,0.3906031123845542,AT1G07010
AT1G51140,0.7154274242935298,AT1G07128
AT1G51140,0.7739536873644906,AT1G07160
AT5G37020,0.3313094705302464,AT1G07160
AT1G51140,0.7975312242137472,AT1G10120
AT1G51140,0.4736842105263157,AT1G10370
AT4G36730,0.4210526315789474,AT1G10370
AT1G51140,0.7827004516880097,AT1G10480
AT1G51140,0.3684210526315789,AT1G12370
AT4G36780,0.5263157894736842,AT1G12370
AT1G51140,0.6842105263157895,AT1G13670
AT4G36730,0.4736842105263157,AT1G13670
AT1G51140,0.6068582683035889,AT1G13740
AT1G51140,0.4736842105263157,AT1G14345
AT4G36780,0.5263157894736842,AT1G14345
AT4G36730,0.3684210526315789,AT1G14430
AT4G36780,0.6782737617694398,AT1G14430
AT1G51140,0.3684210526315789,AT1G16720
AT4G36780,0.5263157894736842,AT1G16720
AT1G51140,0.3873814663565793,AT1G17100
AT5G37020,0.4547237968013154,AT1G17100
AT1G51140,0.6958967747097247,AT1G17920
AT5G37020,0.3486683979435201,AT1G17920
AT4G36780,0.4941141262312615,AT1G18330
AT5G37020,0.4006227158740016,AT1G18330
AT1G51140,0.4736842105263157,AT1G18810
AT4G36730,0.5789473684210527,AT1G18810
AT4G36730,0.4935016281342308,AT1G19490
AT4G36780,0.4363778048649249,AT1G19490
AT1G51140,0.5263157894736842,AT1G22680
AT4G36730,0.5449626363414339,AT1G22680
AT4G36780,0.5604006090008196,AT1G23010
AT5G37020,0.4736842105263157,AT1G23010
AT1G51140,0.4736842105263157,AT1G26790
AT4G36780,0.3684210526315789,AT1G26790
AT5G37020,0.4210526315789474,AT1G26790
AT1G51140,0.7368421052631581,AT1G27740
AT4G36730,0.3531653889965002,AT1G27740
AT1G51140,0.558486608256211,AT1G28600
AT4G36730,0.4015434328429519,AT1G28600
AT1G51140,0.8311942156333688,AT1G34520
AT1G51140,0.6695995156640048,AT1G42550
AT1G51140,0.7274996439996746,AT1G48100
AT4G36730,0.4210526315789474,AT1G48100
