Feature,Importance,Target Gene
AT5G37020,0.8245482446056056,AT1G80130
AT5G37020,0.8520598963907522,AT2G35075
AT5G06110,0.8214507264814338,AT1G49530
AT5G06110,0.812823430875701,AT4G06746
AT1G68640,0.9243254800164546,AT1G43700
AT1G68640,0.8006435887706735,AT1G79310
AT1G68640,0.9761804758197542,AT1G79700
AT1G68640,1.0,AT3G07650
AT1G68640,0.8675625582370843,AT3G14020
AT1G68640,0.955326337232979,AT3G15500
AT1G68640,0.9605824200473564,AT3G23240
AT1G68640,0.905291902518258,AT3G53200
AT1G68640,0.8380870254312645,AT3G58710
AT1G68640,0.8377539759181767,AT4G00210
AT1G68640,0.8642999165783879,AT5G10140
AT1G68640,0.8968583107952257,AT5G18030
AT3G57920,0.8324021282740579,AT1G12610
AT5G11260,0.8533420940964451,AT1G19510
AT4G17230,0.8256608455142826,AT1G35210
AT4G17230,0.8947055328357141,AT1G66160
AT3G57920,0.8632867068412013,AT2G15760
AT4G17230,0.8040734530310192,AT2G40140
AT4G17230,0.907063017872121,AT3G02140
AT3G57920,0.818455111669467,AT3G20600
AT3G57920,0.8506840133286576,AT3G61190
AT4G17230,0.9086010284731558,AT4G08040
AT4G17230,0.8042380489793881,AT4G25470
AT4G17230,0.8393064709439019,AT5G15130
AT4G17230,0.934255905879611,AT5G24590
AT3G57920,0.8624495471747803,AT5G43170
AT1G30330,0.8158089612715776,AT1G13930
AT1G30330,0.9083724094242396,AT1G22810
AT2G36080,0.839659129875306,AT1G29640
AT2G36080,0.8907916370302558,AT1G30040
AT2G36080,0.8555934365169903,AT1G48500
AT2G36080,0.8157793413721941,AT1G72416
AT2G36080,0.917686729927474,AT1G72790
AT2G36080,0.8347609652694624,AT1G78600
AT1G30330,0.8254819501407575,AT1G80760
AT1G30330,0.9822010279178828,AT2G27660
AT1G30330,0.9716213816961314,AT2G28710
AT2G36080,0.8282751650222879,AT2G35940
AT2G36080,0.8233203691044683,AT2G36080
AT1G30330,0.8653093599413464,AT2G39415
AT2G36080,0.814857750096479,AT2G40080
AT1G30330,0.971309021585707,AT2G42350
AT1G30330,0.8281021337004504,AT3G02910
AT1G30330,0.9400806462047636,AT3G05800
AT1G30330,0.8842430583863073,AT3G14810
AT2G36080,0.8154103731172787,AT3G24840
AT1G30330,0.8609087719480031,AT3G52450
AT1G30330,0.8238506791756024,AT4G21680
AT1G30330,0.8134372607583435,AT4G37430
AT2G36080,0.8807604465628334,AT5G21120
AT1G30330,0.839455646754789,AT5G25810
AT2G36080,0.8098654336472492,AT5G42410
AT1G30330,0.8764094522997518,AT5G48540
AT1G30330,0.9471662437276818,AT5G64750
AT1G30330,0.8974989712105952,AT5G64850
AT5G37020,0.804665457099724,AT1G43700
AT1G04990,0.841582520605654,AT1G58100
AT1G43700,0.955194616511031,AT1G58100
AT1G51140,0.881731180700781,AT1G58100
AT4G36730,0.87384255748488,AT3G48590
AT1G43700,1.0,AT5G63470
