Regulator	Interaction	Target	Weight
AT4G36780	regulates	AT2G44370	0.904341583025016
AT4G36730	regulates	AT4G15248	0.811115658805324
AT1G51140	regulates	AT4G23550	1
AT4G36780	regulates	AT5G64840	0.964491064803655
AT1G58100	regulates	AT2G26580	1
AT1G68640	regulates	AT1G01580	0.803723847912878
AT1G43700	regulates	AT1G19670	1
AT2G28450	regulates	AT1G68640	0.939947611722182
AT3G57920	regulates	AT1G07135	0.970373475132836
AT3G57920	regulates	AT3G23630	1
AT3G57920	regulates	AT3G50930	0.86787039287962
AT3G57920	regulates	AT4G24570	0.843650026121225
AT1G04990	regulates	AT1G13930	0.924526685176462
AT1G04990	regulates	AT1G22810	0.951884079604918
AT1G04990	regulates	AT2G39415	1
AT1G30330	regulates	AT5G24230	0.834575260520548
AT1G43700	regulates	AT1G58100	1
AT2G28450	regulates	AT1G68640	0.990992782691942
