Feature,Importance,Target Gene
AT1G43700,0.9229128797373836,AT1G01580
AT1G43700,0.9532718560445342,AT1G05805
AT1G43700,0.93627082931253,AT1G08920
AT1G43700,0.9678441646719668,AT1G17750
AT1G68640,0.8309577073883421,AT1G43700
AT1G43700,0.820906719345357,AT1G68640
AT1G43700,0.9587364717798216,AT1G69930
AT1G68640,0.8858749286426596,AT1G79310
AT1G68640,0.9514503174661052,AT1G79700
AT1G43700,0.9745231394595398,AT2G28450
AT1G43700,0.9223057002112406,AT2G28510
AT1G68640,0.8834462105380876,AT2G41240
AT1G43700,0.9289846749988137,AT2G47850
AT1G68640,0.8889108262733747,AT3G05770
AT1G68640,0.8761753499167364,AT3G07650
AT1G68640,0.9253415978419558,AT3G14020
AT1G68640,0.8464082594433637,AT3G15500
AT1G68640,0.8666502913333594,AT3G23240
AT1G68640,0.8433723618126485,AT3G46130
AT1G68640,0.8901251853256608,AT3G53200
AT1G43700,0.9204841616328115,AT3G53232
AT1G68640,0.8204849656629367,AT3G58710
AT1G68640,0.8949826215348048,AT3G60530
AT1G68640,0.8391221051296475,AT4G00210
AT1G43700,0.9599508308321074,AT4G19690
AT1G43700,0.8701385785462796,AT4G31940
AT1G43700,0.9405210859955312,AT4G36870
AT1G43700,0.9324035291497454,AT5G01900
AT1G68640,0.9130903038679652,AT5G10140
AT1G68640,0.9791502795391022,AT5G18030
AT1G43700,0.9113764687406662,AT5G48150
AT2G28450,0.8925539034302328,AT5G48250
AT1G68640,0.8391221051296475,AT5G59780
AT1G68640,0.8318359508159312,AT5G64770
AT3G57920,0.8974113396393769,AT1G12610
AT5G11260,0.9719082258559598,AT1G19510
AT5G11260,0.8004786237115757,AT1G30135
AT4G17230,0.8494441570740786,AT1G66160
AT3G57920,0.9863316892966556,AT2G15760
AT3G57920,0.9477464549051532,AT2G25460
AT3G57920,0.9289846749988137,AT2G35930
AT5G11260,0.8336724110619945,AT2G37430
AT3G57920,0.9465928812569612,AT2G39650
AT4G17230,0.8008697949826376,AT2G40140
AT4G17230,0.8429539850316371,AT3G02140
AT3G57920,0.932668369717624,AT3G16860
AT3G57920,0.9720944213549678,AT3G20600
AT5G11260,0.8518753215587223,AT3G47960
AT5G11260,0.9328046724743204,AT3G50260
AT3G57920,0.9598963104995488,AT3G61190
AT3G57920,0.8798031333812293,AT4G03400
AT4G17230,0.8937682624825188,AT4G08040
AT5G11260,0.9958053371674728,AT4G20860
AT3G57920,0.871516121386131,AT4G21840
AT3G57920,0.935056470260244,AT4G24150
AT3G57920,0.8365555513606027,AT4G24380
AT3G57920,0.8063344107179246,AT4G27657
AT3G57920,0.850200635125572,AT4G31800
AT3G57920,0.8099774878747826,AT4G33280
AT3G57920,0.8173607626189086,AT4G35660
AT4G17230,0.867397724962852,AT5G15130
AT3G57920,0.8232179675170066,AT5G22250
AT4G17230,0.8857537441795589,AT5G24590
AT3G57920,0.9771749395169012,AT5G43170
AT5G11260,0.8756095561129411,AT5G51190
AT3G57920,0.9265559568942416,AT5G62520
AT3G57920,0.8025613208803158,AT5G65300
AT4G17230,0.8178708217146419,AT5G67300
AT2G36080,0.9952383812111928,AT1G06002
AT1G04990,0.9611651898843936,AT1G07150
AT1G30330,0.8998400577439489,AT1G07620
AT2G36080,0.823335437449929,AT1G13110
AT1G30330,0.86678787187353,AT1G13930
AT1G04990,0.917584655580342,AT1G15100
AT2G36080,0.8933594633576635,AT1G19220
AT2G36080,0.96562473124855,AT1G22570
AT2G36080,0.9976208817067584,AT1G29640
AT2G36080,0.9989128264733744,AT1G30040
AT1G04990,0.8998400577439489,AT1G30330
AT1G04990,0.941128265521674,AT1G32690
AT1G04990,0.8761600562243714,AT1G43160
AT2G36080,0.8574375314728494,AT1G44020
AT2G36080,0.9108665608082358,AT1G45249
AT2G36080,0.8937214661943557,AT1G48500
AT2G36080,0.9018759408240968,AT1G51820
AT1G04990,0.8646236452276541,AT1G59640
AT1G04990,0.8892769600176487,AT1G65390
AT1G04990,0.8743385176459424,AT1G69570
AT2G36080,0.995516156531036,AT1G72416
AT2G36080,1.0,AT1G72790
AT2G36080,0.9975813995788236,AT1G78600
AT2G36080,0.9836441568154134,AT2G16365
AT1G30330,0.8109539748690133,AT2G27660
AT1G30330,0.8767672357505143,AT2G28710
AT2G36080,0.8998400577439489,AT2G35940
AT2G36080,0.9991789412929972,AT2G36080
AT1G30330,0.8018953827714398,AT2G39415
AT2G36080,0.9974796153731402,AT2G39420
AT2G36080,0.9113764687406662,AT2G40080
AT1G30330,0.8700858432564318,AT2G42350
AT1G04990,0.9073043553147682,AT2G43140
AT1G30330,0.8108562851278979,AT2G45680
AT2G36080,0.8673131299354229,AT2G46790
AT1G30330,0.935112757849296,AT3G02910
AT1G30330,0.8225303177599967,AT3G05800
AT2G36080,0.921693672067544,AT3G10815
AT2G36080,0.9185911718077248,AT3G11020
AT1G04990,0.8069664016780275,AT3G13760
AT1G04990,0.8998400577439489,AT3G21150
AT2G36080,0.9953001086854636,AT3G24520
AT2G36080,0.9979028213689108,AT3G24840
AT1G04990,0.8952068434623821,AT3G44860
AT1G04990,0.9625651177604352,AT3G52740
AT1G04990,0.8026913335610665,AT4G10265
AT1G04990,0.978510321726039,AT4G17090
AT2G36080,0.9803132297354136,AT4G17670
AT2G36080,0.818478001240785,AT4G27310
AT1G04990,0.8891500341991749,AT4G31550
AT1G04990,0.8160492831362129,AT4G37610
AT1G04990,0.81671149245372,AT5G02970
AT1G04990,0.8166564626623558,AT5G08130
AT1G30330,0.8404434225867804,AT5G15150
AT1G04990,0.818478001240785,AT5G17810
AT2G36080,0.9995798964306848,AT5G21120
AT1G30330,0.8066520446667896,AT5G25810
AT2G36080,0.8366720572383287,AT5G35732
AT1G30330,0.8700882609629411,AT5G37260
AT2G36080,0.9845040113486896,AT5G42410
AT2G36080,0.8872853580481687,AT5G44110
AT1G04990,0.816755613951236,AT5G44190
AT1G04990,0.9027701240835442,AT5G54040
AT2G36080,0.919693567622812,AT5G54960
AT2G36080,0.8499948396298831,AT5G55770
AT2G36080,0.9659414832873564,AT5G62430
AT1G30330,0.8336574893943602,AT5G64850
AT1G04990,0.90617747227506,AT5G65310
AT1G04990,0.8998400577439489,AT5G65683
