Feature,Importance,Target Gene
AT1G43700,1.0,AT5G63470
AT3G57920,1.0,AT2G15760
AT3G57920,0.990605694842139,AT5G43170
AT2G36080,0.986161916081474,AT1G72790
AT3G57920,0.9785774177494586,AT3G20600
AT1G68640,0.9637585542329968,AT1G79700
AT3G57920,0.9619636266112572,AT3G61190
AT1G43700,0.955194616511031,AT1G58100
AT2G36080,0.9508578875764142,AT1G30040
AT1G04990,0.9424908272814,AT3G52740
AT1G68640,0.9408467013766928,AT3G07650
AT3G57920,0.940792747825432,AT1G12610
AT1G04990,0.934409203151865,AT3G44860
AT2G36080,0.9332586382384946,AT5G21120
AT3G57920,0.925800983320472,AT5G62520
AT5G11260,0.9156705368673728,AT1G19510
AT1G30330,0.9116134870499846,AT3G05800
AT1G30330,0.9097452871071704,AT5G64750
AT1G43700,0.9070996094900364,AT4G19690
AT1G04990,0.9054030521221156,AT2G43140
AT2G36080,0.9034474188417494,AT1G78600
AT1G68640,0.903232392908245,AT5G18030
AT2G36080,0.9019172441701712,AT1G48500
AT1G68640,0.8953100872093415,AT3G53200
AT3G57920,0.8934725775678657,AT2G25460
