Feature,Importance,Target Gene
AT1G43700,1.0,AT5G63470
AT2G36080,1.0,AT1G72790
AT2G36080,0.9995798964306848,AT5G21120
AT2G36080,0.9991789412929972,AT2G36080
AT2G36080,0.9989128264733744,AT1G30040
AT2G36080,0.9979028213689108,AT3G24840
AT2G36080,0.9976208817067584,AT1G29640
AT2G36080,0.9975813995788236,AT1G78600
AT2G36080,0.9974796153731402,AT2G39420
AT5G11260,0.9958053371674728,AT4G20860
AT2G36080,0.995516156531036,AT1G72416
AT2G36080,0.9953001086854636,AT3G24520
AT2G36080,0.9952383812111928,AT1G06002
AT3G57920,0.9863316892966556,AT2G15760
AT2G36080,0.9845040113486896,AT5G42410
AT2G36080,0.9836441568154134,AT2G16365
AT2G36080,0.9803132297354136,AT4G17670
AT1G68640,0.9791502795391022,AT5G18030
AT1G04990,0.978510321726039,AT4G17090
AT3G57920,0.9771749395169012,AT5G43170
AT1G43700,0.9745231394595398,AT2G28450
AT3G57920,0.9720944213549678,AT3G20600
AT5G11260,0.9719082258559598,AT1G19510
AT1G43700,0.9678441646719668,AT1G17750
AT2G36080,0.9659414832873564,AT5G62430
