Feature,Importance,Target Gene
AT1G51140,0.3398511638184839,AT1G01060
AT4G36730,0.19971958773015602,AT1G01060
AT4G36780,0.19479482516166446,AT1G01060
AT5G37020,0.26563442328969566,AT1G01060
AT1G01260,0.10283833813245578,AT1G01260
AT1G58100,0.32743726861373923,AT1G01260
AT3G48590,0.12669683257918551,AT1G01260
AT5G06110,0.30728095433977787,AT1G01260
AT5G63470,0.13574660633484162,AT1G01260
AT1G51140,0.05556316935970945,AT1G01520
AT4G36730,0.39774633993903286,AT1G01520
AT4G36780,0.323323735088441,AT1G01520
AT5G37020,0.2233667556128167,AT1G01520
AT1G43700,0.35499794323323736,AT1G01580
AT1G68640,0.3167420814479638,AT1G01580
AT2G28450,0.32825997531879886,AT1G01580
AT1G51140,0.35294117647058826,AT1G02030
AT4G36730,0.4249280131633073,AT1G02030
AT4G36780,0.11476758535582066,AT1G02030
AT5G37020,0.10736322501028384,AT1G02030
AT1G51140,0.35891667399308297,AT1G02340
AT4G36730,0.10075157519352262,AT1G02340
AT4G36780,0.2361853804494861,AT1G02340
AT5G37020,0.3041463703639084,AT1G02340
AT3G57920,0.3491853921989595,AT1G02810
AT4G17230,0.31863521341855383,AT1G02810
AT5G11260,0.3321793943824866,AT1G02810
AT1G51140,0.13936458616473202,AT1G03170
AT4G36730,0.364273889976547,AT1G03170
AT4G36780,0.440509569396193,AT1G03170
AT5G37020,0.055851954462527935,AT1G03170
AT1G04990,0.35499794323323736,AT1G04990
AT1G30330,0.3167420814479638,AT1G04990
AT2G36080,0.32825997531879886,AT1G04990
AT1G51140,0.21927192222641032,AT1G05420
AT4G36730,0.31155904468546164,AT1G05420
AT4G36780,0.23079785995855082,AT1G05420
AT5G37020,0.2383711731295772,AT1G05420
AT1G51140,0.4385947446099026,AT1G05710
AT4G36730,0.07827881646073055,AT1G05710
AT4G36780,0.2241875771287536,AT1G05710
AT5G37020,0.25893886180061315,AT1G05710
AT1G43700,0.3579635893756169,AT1G05805
AT1G68640,0.31988417052335416,AT1G05805
AT2G28450,0.32215224010102894,AT1G05805
AT1G04990,0.3547958043286329,AT1G06002
AT1G30330,0.3087919870081203,AT1G06002
AT2G36080,0.33641220866324684,AT1G06002
AT1G51140,0.3377561497105534,AT1G06040
AT4G36730,0.13368983957219252,AT1G06040
AT4G36780,0.21251062452673192,AT1G06040
AT5G37020,0.31604338619052214,AT1G06040
AT1G51140,0.3678695980034146,AT1G07010
AT4G36730,0.10736640212703581,AT1G07010
AT4G36780,0.2976969492730871,AT1G07010
AT5G37020,0.22706705059646243,AT1G07010
AT1G51140,0.4659501614410048,AT1G07128
AT4G36730,0.2529818018761685,AT1G07128
AT4G36780,0.15904387530716058,AT1G07128
AT5G37020,0.12202416137566614,AT1G07128
AT3G57920,0.3564501860783481,AT1G07135
AT4G17230,0.31582294764572766,AT1G07135
AT5G11260,0.32772686627592423,AT1G07135
AT1G04990,0.36109545458103565,AT1G07150
AT1G30330,0.30685219213821296,AT1G07150
AT2G36080,0.33205235328075133,AT1G07150
AT1G51140,0.4099188158446553,AT1G07160
AT4G36730,0.045470406944013234,AT1G07160
AT4G36780,0.18140682846565198,AT1G07160
AT5G37020,0.36320394874567946,AT1G07160
AT1G04990,0.35499794323323736,AT1G07620
AT1G30330,0.3167420814479638,AT1G07620
AT2G36080,0.32825997531879886,AT1G07620
AT1G01260,0.15865462237511427,AT1G07640
AT1G58100,0.23405706524439873,AT1G07640
AT3G48590,0.16415512888155268,AT1G07640
AT5G06110,0.27025915261209377,AT1G07640
AT5G63470,0.17287403088684056,AT1G07640
AT1G04990,0.35388528178801787,AT1G07690
AT1G30330,0.31314378996926523,AT1G07690
AT2G36080,0.332970928242717,AT1G07690
AT1G01260,0.08761826408885233,AT1G08000
AT1G58100,0.2990538872891814,AT1G08000
AT3G48590,0.14356232003290828,AT1G08000
AT5G06110,0.3257918552036199,AT1G08000
AT5G63470,0.1439736733854381,AT1G08000
AT1G43700,0.35499794323323736,AT1G08920
AT1G68640,0.3167420814479638,AT1G08920
AT2G28450,0.32825997531879886,AT1G08920
